Name,Location,Year,Size ( gross leasable area )
Prozone Mall,"Chikalthana , Aurangabad",2010,"680,189 sq ft ( 63,191.6 m )"
High Street Phoenix,Lower Parel,2008,"650,000 sq ft ( 60,000 m )"
Metro Junction Mall,Kalyan,2008,"750,000 sq ft ( 70,000 m )"
Infiniti Mall,"Andheri , Malad",2004 / 2011,"310,000 sq ft ( 29,000 m ) / 850,000 sq ft ( 79,000 m )"
Inorbit Mall,"Malad , Vashi",2004 / 2008,"364,000 sq ft ( 33,800 m ) / 545,000 sq ft ( 50,600 m )"
Raghuleela Mall,Vashi,2007,"375,000 sq ft ( 34,800 m )"
Korum Mall,Thane,2009,"500,000 sq ft ( 46,000 m )"
Growel 's 101,Kandivli,2007,"650,000 sq ft ( 60,000 m )"
R-Mall,Mulund,2003,"250,000 sq ft ( 23,000 m )"
Crossroad Mall,Worli,1999,"150,000 sq ft ( 14,000 m )"
Fountain Square,Kharghar,2008,
R City Mall,Ghatkopar,2009,"657,000 sq ft ( 61,000 m )"
Neptune Magnet Mall,Bhandup,2011,"1,056,000 sq ft ( 98,100 m )"
Nashik City Centre Mall,Untwadi,2009,"900,000 sq ft ( 84,000 m )"
Pinnacle Mall,C.B.S,2011,"500,000 sq ft ( 46,000 m )"
Phoenix Market City,Vimannagar,2011,"800,000 sq ft ( 74,000 m )"
Koregaon Park Plaza,Koregaon Park,2012,"400,000 sq ft ( 37,000 m )"
Viviana Mall,Thane,2013,"1,000,000 sq ft ( 93,000 m )"
