Type,Symbol,Adopted
Aircraft,Piper J-3 Cub,"June 26 , 2014"
Amphibian,Eastern hellbender ( Cryptobranchus alleganiensis ),"April 23 , 2019"
Animal,White-tailed deer ( Odocoileus virginianus ),"October 2 , 1959"
Beautification and conservation plant,Penngift crownvetch ( Coronilla varia L. Penngift ),"June 17 , 1982"
Beverage,Milk,"April 29 , 1982"
Coat of arms,Coat of Arms of Pennsylvania,1778
Dog,Great Dane,"August 15 , 1965"
Electric locomotive,GG1 4859,"December 18 , 1987"
Firearm,Pennsylvania long rifle,"June 26 , 2014"
Fish,Brook trout ( Salvelinus fontinalis ),"May 9 , 1970"
Flag,Flag of Pennsylvania,1799
Flower,Mountain laurel ( Kalmia latifolia ),"May 5 , 1933"
Fossil,Phacops rana,"December 5 , 1988"
Game bird,Ruffed Grouse ( Bonasa umbellus ),"June 22 , 1931"
Insect,Pennsylvania firefly ( Photuris pennsylvanica ),"December 5 , 1988"
Motto,"Virtue , Liberty , and Independence",1778
Nickname,Keystone State,c. 1800
Seal,Seal of Pennsylvania,1791
Ship,US Brig Niagara,"April 29 , 1988"
Song,Pennsylvania,"November 29 , 1990"
