#,Title,Release date,Director,DVD availability
1,The Weakly Reporter,"March 25 , 1944",Chuck Jones,Looney Tunes Golden Collection : Volume 6
2,Draftee Daffy,"January 27 , 1945",Bob Clampett,Looney Tunes Golden Collection : Volume 3
3,Super-Rabbit,"April 3 , 1943",Chuck Jones,Looney Tunes Golden Collection : Volume 3
4,The Fifth-Column Mouse,"March 6 , 1943",Friz Freleng,Looney Tunes Golden Collection : Volume 6
5,Falling Hare,"October 30 , 1943",Bob Clampett,Looney Tunes Golden Collection : Volume 3
6,Daffy - The Commando,"November 20 , 1943",Friz Freleng,Looney Tunes Golden Collection : Volume 6
7,Swooner Crooner,"May 6 , 1944",Frank Tashlin,Looney Tunes Golden Collection : Volume 3
8,Little Red Riding Rabbit,"January 8 , 1944",Friz Freleng,Looney Tunes Golden Collection : Volume 2
9,Plane Daffy,"September 16 , 1944",Frank Tashlin,Looney Tunes Golden Collection : Volume 4
10,Herr Meets Hare,"January 13 , 1945",Friz Freleng,Looney Tunes Golden Collection : Volume 6
11,Russian Rhapsody,"May 20 , 1944",Bob Clampett,Looney Tunes Golden Collection : Volume 6
