Club,Home stadium,Town / City
Bidco United,Del Monte Grounds,Thika
Brighter Stars,Brighter Grounds,Lamu
Coast United,Tudor Day,Mombasa
Kambakia Christian Centre,Kinoru Stadium,Meru
Kenya Revenue Authority,Public Service Grounds,Nairobi
Kibera Celtic,Woodley Grounds,Nairobi
Ligi Ndogo,Ligi Ndogo Grounds,Nairobi
Mahakama,Nairobi City Stadium,Nairobi
Maweni City,Malindi Stadium,Maweni
Murang ' a United,Ihora Stadium,Murang ' a
Nairobi Stima,Nairobi City Stadium,Nairobi
Sparki Youth,RG Ngala,Nairobi
Talanta,Ruaraka Grounds,Nairobi
