University,Nick,Founded,Location,Website
Darul 'Uloom Karachi,Jamiah Karachi,1951,"Korangi , Karachi",
Jamia Khair-ul-Madaris,Khair-ul-Madaris,1947,Multan,
"Jamiah Farooqia , Karachi",Jamiah Farooqia,1967,"Karachi , Pakistan",[ 28 ]
Jamia Binoria International,,1979,"Karachi , Sindh",[ 29 ]
Jamia Uloom-ul-Islamia,Banuri Town,1954,"Karachi , Pakistan",[ 30 ]
"Jamiatur Rasheed , Karachi",Jamiatur Rasheed,19 ? ?,"Ahsanabad , Pakistan",[ 31 ]
Ashrafia Islamic University,Jamia Ashrafia,1947,"Lahore , Punjab",[ 32 ]
Jamia Darul-uloom Siddiqia,Jamia Siddiqia,1990,"Karachi , Sindh , Pakistan",
Darul 'Uloom Faisalabad,Darul 'Uloom,1953,"Faisalabad , Punjab , Pakistan",
Jamia Islamia Imdadia Faisalabad,Imdadia,1976,"Faisalabad , Punjab , Pakistan",[ 33 ]
Jamiah Arabia Ahsan-Ul-Uloom,Ahsan-Ul-Uloom,1977,"Karachi , Pakistan",[ 34 ]
Jamiatul Uloom Ul Islamiah Al Faridiah,Jamiah Faridia,-,"Islamabad , Pakistan",[ 35 ]
Jamia Darul Uloom Haqqania,Jamia Haqqania,1948,"Akora Khattak , Khyber Pakhtunkhwa",
