Book series,Author ( s ),Original language,No . of installments,First published,Approximate sales
Harry Potter,J. K. Rowling,English,7 + 8 supplements,1997-present,500 million
Goosebumps,R. L. Stine,English,62 + spin-off series,1992-present,350 million
Perry Mason,Erle Stanley Gardner,English,82 + 4 short stories,1933-1973,300 million
Berenstain Bears,Stan and Jan Berenstain,English,over 300,1962-present,260 million
Choose Your Own Adventure,Various authors,English,185,1979-1998,250 million
Sweet Valley High,Francine Pascal and ghostwriters,English,400,1983-2003,250 million
Noddy,Enid Blyton,English,24,1949-present,200 million
Nancy Drew,Various authors as Carolyn Keene,English,175,1930-present,200 million
The Railway Series,"Rev . W. Awdry , Christopher Awdry",English,42,1945-2011,200 million
San-Antonio,Frédéric Dard,French,173,1949-2001,200 million
Robert Langdon,Dan Brown,English,5,2000-present,200 million
Diary of a Wimpy Kid,Jeff Kinney,English,14 + 4 Spin-offs,2007-present,200 million
The Baby-sitters Club,Ann Martin,English,335,1986-present,172 million
Star Wars,Various authors,English,over 300,1977-present,160 million
Little Critter,Mercer Mayer,English,over 200,1975-present,150 million
Peter Rabbit,Beatrix Potter,English,6,1902-1930,150 million
Fifty Shades,E. L. James,English,3,2011-2015,150 million
American Girl,Various authors,English,141 + spin-off series,1986-present,140 million
Geronimo Stilton,Elisabetta Dami and ghostwriters,Italian,over 200,2000-present,140 million
Chicken Soup for the Soul,"Jack Canfield , Mark Victor Hansen",English,105,1997-present,130 million
