Original NFL team,Player,Pos,College,Conf
Arizona Cardinals,Tony Jefferson,SS,Oklahoma,Big 12
Atlanta Falcons,Ryan Schraeder,OT,Valdosta State,Gulf South
Atlanta Falcons,Paul Worrilow,LB,Delaware,CAA
Baltimore Ravens,Jordan Devey,T,Memphis,C-USA
Baltimore Ravens,Brynden Trawick,S,Troy,Sun Belt
Buffalo Bills,Nickell Robey-Coleman,CB,USC,Pac-12
Buffalo Bills,Jeff Tuel,QB,Washington State,Pac-12
Chicago Bears,Tress Way,P,Oklahoma,Big 12
Dallas Cowboys,Jeff Heath,S,Saginaw Valley State,GLIAC
Denver Broncos,C. J. Anderson,RB,California,Pac-12
Green Bay Packers,Lane Taylor,G,Oklahoma State,Big 12
Houston Texans,A.J . Bouye,CB,UCF,C-USA
Indianapolis Colts,Brandon McManus,K,Temple,Big East
Jacksonville Jaguars,Jason Myers,K,Marist,Pioneer
Minnesota Vikings,Zach Line,FB,SMU,C-USA
Minnesota Vikings,Adam Thielen,WR,Minnesota State,NSIC
New England Patriots,Ryan Allen,P,Louisiana Tech,WAC
New York Jets,Brett Maher,K,Nebraska,Big Ten
Philadelphia Eagles,James Winchester,LS,Oklahoma,Big 12
Philadelphia Eagles,Brad Wing,P,LSU,SEC
