Player,Recruited from,Club
John Baird,Box Hill,Kangaroos
Nathan Bock,Woodville-West Torrens,Adelaide Crows
Paul Chambers,Western Jets,Geelong
Roger Hayden,South Fremantle,Fremantle
Mark Jamar,North Adelaide,Melbourne
Quinten Lynch,West Perth,West Coast Eagles
Adam Matthews,Murray Bushrangers,Carlton
Martin Mattner,Sturt,Adelaide Crows
Digby Morrell,West Perth,Kangaroos
Jarad Rooke,Casterton,Geelong
Ben Rutten,West Adelaide,Adelaide Crows
Aaron Sandilands,East Fremantle,Fremantle
Andrew Siegert,Geelong Falcons,Fremantle
Bret Thornton,Oakleigh Chargers,Carlton
