Year,Under-11,Under-13,Under-15,Under-17,Under-19
1999,tournament not created,Sara Badr,Omneya Abdel Kawy,Nicol David,Elisabet Sadó Garriga
2000,tournament not created,Sara Badr,Omneya Abdel Kawy,Manuela Zehnder,Nicol David
2001,tournament not created,Raneem El Weleily,Sara Badr,Michelle Quibell,Omneya Abdel Kawy
2002,tournament not created,Shahenga Osama,Raneem El Weleily,Kasey Brown,Omneya Abdel Kawy
2003,tournament not created,Alia Balbaa,Raneem El Weleily,Joshna Chinappa,Omneya Abdel Kawy
2004,tournament not created,Heba El Torky,Annie Au,Raneem El Weleily,Omneya Abdel Kawy
2005,tournament not created,Nour El Tayeb,Heba El Torky,Raneem El Weleily,Joshna Chinappa
2006,tournament not created,Tan Yan Xin,Heba El Torky,Camille Serme,Lina El Tannir
2007,tournament not created,Nour El Sherbini,Olivia Blatchford,Heba El Torky,Raneem El Weleily
2008,tournament not created,Nour El Sherbini,Nour El Tayeb,Dipika Pallikal,Camille Serme
2009,tournament not created,Yathreb Adel,Nour El Sherbini,Nour El Tayeb,Low Wee Wern
2010,tournament not created,Mayar Hany,Yathreb Adel,Nour El Tayeb,Nour El Sherbini
2011,tournament not created,Habiba Mohamed,Salma Hany,Emily Whitlock,Nour El Tayeb
2012,tournament not created,Habiba Mohamed,Nouran Gohar,Yathreb Adel,Nour El Sherbini
2013,tournament not created,Hania El Hammamy,Habiba Mohamed,Yathreb Adel,Emily Whitlock
2014,tournament not created,Aifa Azman,Sivasangari Subramaniam,Habiba Mohamed,Yathreb Adel
2015,tournament not created,Jessica Keng,Hania El Hammamy,Habiba Mohamed,Nouran Gohar
2016,tournament not created,Sana Mahmoud,Aifa Azman,Hania El Hammamy,Nouran Gohar
2017,tournament not created,Salma El Tayeb,Nour Abouelmakrim,Hana Motaz Ayoub,Hania El Hammamy
2018,Amina Orfi,Sehveetrraa Kumar,Aira Azman,Aifa Azman,Sivasangari Subramaniam
