Team,Manager,Captain,Kit manufacturer,Shirt sponsor
Aalesund,Jan Jönsson,Jonatan Tollås,Umbro,Sparebanken Møre
Brann,Rune Skarsfjord,Markus Jonsson,Hummel,Sparebanken Vest
Haugesund,Jostein Grindhaug,Per Morten Kristiansen,Umbro,Sparebanken Vest
Hønefoss,Leif Gunnar Smerud,Tor Øyvind Hovda,Legea,AKA
Lillestrøm,Magnus Haglund,Frode Kippe,Legea,Vann For Livet
Molde,Ole Gunnar Solskjær,Daniel Berg Hestad,Umbro,Sparebanken Møre
Odd,Dag-Eilev Fagermo,Steffen Hagen,Adidas,Skagerak
Rosenborg,Per Joar Hansen,Tore Reginiussen,Adidas,REMA 1000
Sandnes Ulf,Asle Andersen,Aksel Berget Skjølsvik,Hummel,Øster Hus
Sarpsborg 08,Brian Deane,Ole Christoffer Heieren Hansen,Legea,Borregaard
Sogndal,Jonas Olsson,Per-Egil Flo,Umbro,Sparebanken Vest
Start,Mons Ivar Mjelde,Espen Hoff,Umbro,Netthandelen .no
Strømsgodset,Ronny Deila,Adam Larsen Kwarasey,Diadora,NextGenTel
Tromsø,Agnar Christensen,Miika Koppinen,Legea,Sparebanken Nord-Norge
Vålerenga,Kjetil Rekdal,Christian Grindheim,Adidas,None
Viking,Kjell Jonevret,Indriði Sigurðsson,Diadora,Lyse
