Year,Title,Role,Notes
1975,A Doll 's House,Helene,Vivian Beaumont Theater
1976,Measure for Measure,Francisca,Delacorte Theater
1976,Herzl,Julie Herzl,Palace Theatre
1999-2000,Wit,Vivian Bearing,Union Square Theatre
2001,Hedda Gabler,Hedda Gabler,Shakespeare Theatre Company
2002,Sorrows and Rejoicings,,Second Stage Theatre
2005,Colder Than Here,Myra,Lucille Lortel Theatre
2010-11,Lombardi,Marie Lombardi,Circle in the Square Theatre
2011-12,Other Desert Cities,Silda Grauman,Booth Theatre
2013,The Assembled Parties,Faye,Samuel J. Friedman Theatre
2015,Thérèse Raquin,Madame Raquin,Roundabout Theater at Studio 54
2016,All The Ways To Say I Love You,Faye,MCC Theater
2017,God Looked Away,Estelle,Pasadena Playhouse
