Model designation,Build year,Total produced,AAR wheel arrangement,Prime mover,Power output
TA,1937,6,B-B,Winton 201-A,"1,200 hp ( 890 kW )"
EA,1937-1938,"6 A units , 6 B units",A1A-A1A,Dual Winton 201-A,"1,800 hp ( 1340 kW )"
E1,1937-1938,"8 A units , 3 B units",A1A-A1A,Dual Winton 201-A,"1,800 hp ( 1340 kW )"
E2,1937,2 ABB sets,A1A-A1A,Dual Winton 201-A,"1,800 hp ( 1340 kW )"
E3,1938-1940,"17 A units , 2 B units",A1A-A1A,Dual EMD 567,"2,000 hp ( 1490 kW )"
E4,1938-1939,"14 A units , 5 B units",A1A-A1A,Dual EMD 567,"2,000 hp ( 1490 kW )"
AA,1940,1,A1A-3,EMD 567,"1,000 hp ( 745 kW )"
AB6,1940,2,As Built : A1A-3 After Rebuild : A1A-A1A,As Built : EMD 567 After Rebuild : Dual EMD 567,"1,000 hp ( 745 kW ) ( After Rebuild : 2000 hp )"
E5,1940-1941,"11 A units , 5 B units",A1A-A1A,Dual EMD 567,"2,000 hp ( 1490 kW )"
E6,1939-1942,"91 A units , 26 B units",A1A-A1A,Dual EMD 567,"2,000 hp ( 1490 kW )"
E7,1945-1949,"428 A units , 82 B units",A1A-A1A,Dual EMD 567 A,"2,000 hp ( 1490 kW )"
E8,1949-1954,"450 A units , 46 B units",A1A-A1A,Dual EMD 567 B,"2,250 hp ( 1670 kW )"
E9,1954-1964,"100 A units , 44 B units",A1A-A1A,Dual EMD 567 C,"2,400 hp ( 1800 kW )"
