Season,Player ( s ),Nationality,Club ( s ),Goals
1898,Edoardo Bosio Norman Victor Leaver,Italy England,Genoa Internazionale Torino,2
1899,Albert Weber,Switzerland,Internazionale Torino,2
1900,Unknown,N/A,N/A,N/A
1901,Umberto Malvano,Italy,Juventus,4
1902,Unknown,N/A,N/A,N/A
1903,Unknown,N/A,Juventus,N/A
1904,Unknown,N/A,Juventus,N/A
1905,Unknown,N/A,N/A,N/A
1906,Unknown,N/A,N/A,N/A
1907,Hans Kämpfer,Switzerland,Torino,7
1908,Unknown,N/A,N/A,N/A
1909,Amilcare Pizzi,Italy,US Milanese,9
1909-10,Ernest Peterly,Switzerland,Internazionale,23
1910-11,Unknown,N/A,N/A,N/A
1911-12,Unknown,N/A,N/A,N/A
1912-13,Unknown,N/A,N/A,N/A
1913-14,Unknown,N/A,N/A,N/A
1914-15,Unknown,N/A,N/A,N/A
1915-19,Not awarded,N/A,N/A,N/A
1919-20,Unknown,N/A,N/A,N/A
