Electoral district,Member,Party
Arm River,George Adam Scott,Liberal
Bengough,Thomas Evan Gamble,Liberal
Biggar,John Meikle,Progressive
Cannington,Robert Douglas,Liberal
Canora,H.P . Albert Hermanson,Liberal
Cumberland,George Langley,Liberal
Cut Knife,William Hamilton Dodds,Liberal
Cypress,Henry Theodore Halvorson,Liberal
Elrose,Wilbert Hagarty,Liberal
Estevan,Robert Dunbar,Liberal
Francis,Walter George Robinson,Liberal
Gravelbourg,William James Cummings,Independent
Hanley,Ernest Redford Ketcheson,Liberal
Happyland,Stephen Morrey,Liberal
Humboldt,Henry Mathies Therres,Liberal
Île-à-la-Crosse,Joseph Octave Nolin,Liberal
Jack Fish Lake,Donald M. Finlayson,Liberal
Kerrobert,John Albert Dowd,Liberal
Kindersley,Wesley Harper Harvey,Progressive
Kinistino,John Richard Parish Taylor,Liberal
