New district ( Verwaltungskreis ),Capital,Region,Former district ( s ) ( Amtsbezirk )
Bern-Mittelland,Ostermundigen,Bern-Mittelland,"Bern , Fraubrunnen , Konolfingen , Laupen , Schwarzenburg and Seftigen"
Biel/Bienne,Biel/Bienne,Seeland,Biel and about half of Nidau
Emmental,Langnau im Emmental,Emmental-Oberaargau,"Burgdorf , Signau and Trachselwald"
Frutigen-Niedersimmental,Frutigen,Bernese Oberland,Frutigen and Niedersimmental
Interlaken-Oberhasli,Interlaken,Bernese Oberland,Interlaken and Oberhasli
Jura bernois,Courtelary,Jura Bernois Region,"Courtelary , Moutier and La Neuveville"
Oberaargau,Wangen an der Aare,Emmental-Oberaargau,Aarwangen and Wangen
Obersimmental-Saanen,Saanen,Bernese Oberland,Obersimmental and Saanen
Seeland,Aarberg,Seeland,"Aarberg , Büren , Erlach and about half of Nidau"
Thun,Thun,Bernese Oberland,Thun
