Team,Division,City,State,Stadium
Alpine Cowboys,Mountain,Alpine,Texas,Kokernot Field
Bakersfield Train Robbers,Pacific,Bakersfield,California,Sam Lynn Ballpark
California City Whiptails,Pacific,California City,California,Balsitis Park
Garden City Wind,Mountain,Garden City,Kansas,Clint Lightner Field
High Desert Yardbirds,Pacific,Adelanto,California,Adelanto Stadium
Monterey Amberjacks,Pacific,Monterey,California,"Frank E. Sollecito , Jr . Ballpark"
Roswell Invaders,Mountain,Roswell,New Mexico,Joe Baumann Stadium
Santa Fe Fuego,Mountain,Santa Fe,New Mexico,Fort Marcy Park
Trinidad Triggers,Mountain,Trinidad,Colorado,Central Park
Tucson Saguaros,Pacific,Tucson,Arizona,Kino Veterans Memorial Stadium
Wasco Reserves,Pacific,Wasco,California,Wasco Park
White Sands Pupfish,Mountain,Alamogordo,New Mexico,Griggs Park
