Title,Year,Genre,Notes
The Derby,1895,Documentary,"One of cinema 's earliest depictions of racing , set at 1895 Epsom Derby"
Kissing Cup,1913,Drama,Silent film about a jockey who manages to escape a gang of kidnappers and make it to Sandown in time to win his race
A Gamble for Love,1917,Comedy,Silent film about a lord who tries to interfere with a lady 's horse
A Dead Certainty,1920,Drama,A British film about a rider pressured to fix a race
The Sport of Kings,1921,Drama,A man ( Victor McLaglen ) looks out for his young ward and her racehorse
The Kentucky Derby,1922,Comedy,Trainer goes to great lengths to keep an owner 's son far from the Derby
Kentucky Pride,1925,Drama,"Directed by John Ford , a silent film that includes Man o ' War"
The Shamrock Handicap,1926,Drama,Irish lass ( Janet Gaynor ) comes to America with horse Dark Rosaleen for steeplechase race
Sporting Blood,1931,Comedy,Rid Riddell ( Clark Gable ) enters his horse Tommy Boy in the Kentucky Derby
Sweepstakes,1931,Comedy,A suspended jockey rides his horse Six-Shooter in a race in Tijuana
Men of Chance,1932,Drama,Diamond Johnny Silk is double-crossed by his own wife at a Paris racetrack
Broadway Bill,1934,Comedy,Story of a man 's love for his thoroughbred and a woman who helps him achieve his dreams
Racing Luck,1935,Drama,"After his horse Life Belt fails a drug test , a trainer is suspended"
Hot Tip,1935,Comedy,"Leadpipe looks like a cinch , but a tipster persuades a fellow to bet on a loser instead"
Thoroughbred,1936,Drama,A plot in Australia to kill favored Stormalong before the Melbourne Cup
Educated Evans,1936,Comedy,A wealthy couple ask a Cockney tipster to train their horse
Racing Blood,1936,Drama,"Jockey buys lame colt for under $ 5 , turns him into a champion"
Three Men on a Horse,1936,Comedy,Greeting-card writer Erwin Trowbridge has a knack for picking racetrack winners
Down the Stretch,1936,Drama,"Banned at home , rider Mickey Rooney moves to England to find success"
All In,1936,Comedy,A broke bloke inherits a stable and sets out to win The Derby
