Rank,Province ( voivodeship ),2017 ( in billions EUR ),European countries with similar GDP ( nominal )
1,Masovia,104.8,Slovakia
2,Silesia,57.2,Luxembourg
3,Greater Poland,46.2,Slovenia
4,Lower Silesia,39.0,Serbia
5,Lesser Poland,37.6,Serbia
6,Łódź,28.2,Latvia
7,Pomerania,27.3,Latvia
8,Kujawy-Pomerania,20.5,Estonia
9,Podkarpackie,18.1,Iceland
10,Lubelskie,17.8,Iceland
11,West Pomerania,17.3,Iceland
12,Warmia-Masuria,12.3,Albania
13,Podlaskie,10.3,Albania
14,Lubusz,10.2,Albania
15,Świętokrzyskie,10.1,Albania
16,Opole,9.6,Albania
-,Poland,467.2,Sweden
