Conference,Nickname,Founded,Members,Sports,Headquarters
America East Conference,America East,1979,9,19,"Boston , Massachusetts"
Atlantic Sun Conference,ASUN,1978,9,19,"Macon , Georgia"
Atlantic 10 Conference,A-10,1975,14,21,"Newport News , Virginia"
Big East Conference,Big East,2013,10,22,"New York City , New York"
Big West Conference,Big West,1969,9,18,"Irvine , California"
Horizon League,Horizon,1979,10,19,"Indianapolis , Indiana"
Independents,Independents,,0,,
Metro Atlantic Athletic Conference,MAAC,1980,11,22,"Edison , New Jersey"
Missouri Valley Conference,MVC / Valley,1907,10,17,"St. Louis , Missouri"
The Summit League,The Summit,1982,9,19,"Sioux Falls , South Dakota"
West Coast Conference,WCC,1952,10,15,"San Bruno , California"
Western Athletic Conference,WAC,1962,9,19,"Greenwood Village , Colorado"
