Rank,Country,NCU,Currency in 2004,PPP rate 2004,Mean Income ( PPP )
1,United States,"32,195",United States Dollar,1,"32,195"
2,Canada,"33,785",Canadian Dollar,1.27,"26,602"
3,Switzerland,"49,844",Swiss Franc,1.88,"26,512"
4,United Kingdom,"16,685",British Pound,0.64,"26,070"
5,Norway,"254,243",Norwegian krone,9.8,"25,943"
6,Austria,"22,527",Euro,0.89,"25,311"
7,Germany,"20,901",Euro,0.91,"22,968"
8,Denmark,"202,275",Danish Krone,9.0,"22,475"
9,Netherlands,"20,607",Euro,0.92,"22,398"
10,Sweden,"203,460",Swedish Krona,9.6,"21,193"
11,Belgium,"19,563",Euro,0.924,"21,173"
12,South Korea,"18,587,000",Won,886.2,"20,937"
13,France,"19,547",Euro,0.952,"20,532"
14,Australia,"29,417",Australian Dollar,1.44,"20,428"
15,Japan,"2,986,594",Yen,150.8,"19,805"
16,Spain,"14,003",Euro,0.788,"17,770"
17,Italy,"15,835",Euro,0.91,"17,401"
18,Poland,"14,844",Polish złoty,2.08,"7,136"
