Church,Dates,"City , State"
Princeton United Methodist Church,1847 founded 1911 built,"Princeton , New Jersey"
Solomon Wesley United Methodist Church,1850 built 1989 NRHP-listed,"Blackwood , New Jersey"
Rockaway Valley Methodist Church,built NRHP-listed,"Boonton , New Jersey"
New Asbury Methodist Episcopal Meetinghouse,built NRHP-listed,"Cape May Court House , New Jersey"
Glendale Methodist Episcopal Church,built NRHP-listed,"Glendale , New Jersey"
Trinity African Methodist Episcopal Church,built NRHP-listed,"Gouldtown , New Jersey"
"Methodist Episcopal Church ( Madison , New Jersey )",1870 built 2008 NRHP-listed,"Madison , New Jersey"
Clarksburg Methodist Episcopal Church,1845 built 1999 NRHP-listed,"Millstone Township , New Jersey"
First Methodist Episcopal Church,built NRHP-listed,"Montclair , New Jersey"
Mount Salem Methodist Episcopal Church,built NRHP-listed,"Mt . Salem , New Jersey"
Ocean Grove Camp Meeting,founded 1869 NRHP-listed,"Ocean Grove , New Jersey"
Simpson United Methodist Church,built NRHP-listed,"Perth Amboy , New Jersey"
Richwood Methodist Church,built NRHP-listed,"Richwood , New Jersey"
Harmony Hill United Methodist Church,built NRHP-listed,"Stillwater , New Jersey"
Bethel African Methodist Episcopal Church,built NRHP-listed,"Springtown , New Jersey"
Stockholm United Methodist Church,built NRHP-listed,"Stockholm , New Jersey"
Mount Zion African Methodist Episcopal Church and Mount Zion Cemetery,built NRHP-listed,"Woolwich , New Jersey"
Mount Bethel Methodist Church,built NRHP-listed,"Vienna , New Jersey"
Port Elizabeth United Methodist Church,1785 founded 1827 built,"Port Elizabeth , New Jersey"
