Year,Round,Pick,Overall,Name,Team
2013,1,3,3,Otto Porter Jr,Washington Wizards
2010,1,7,7,Greg Monroe,Detroit Pistons
2009,2,5,35,DaJuan Summers,Detroit Pistons
2008,1,17,17,Roy Hibbert,Indiana Pacers
2008,2,13,42,"Patrick Ewing , Jr",Sacramento Kings
2007,1,5,5,Jeff Green,Boston Celtics
2003,1,9,9,Mike Sweetney,New York Knicks
2001,2,21,50,Ruben Boumtje-Boumtje,Portland Trail Blazers
1998,2,14,43,Jahidi White,Washington Wizards
1996,1,1,1,Allen Iverson,Philadelphia 76ers
1996,1,26,26,Jerome Williams,Detroit Pistons
1996,2,1,30,Othella Harrington,Houston Rockets
1995,2,29,58,Don Reid,Detroit Pistons
1992,1,2,2,Alonzo Mourning,Charlotte Hornets
1991,1,4,4,Dikembe Mutombo,Denver Nuggets
1987,1,4,4,Reggie Williams,Los Angeles Clippers
1986,2,20,44,David Wingate,Philadelphia 76ers
1986,2,23,47,Michael Jackson,New York Knicks
1986,4,6,76,Michael Graham,Seattle SuperSonics
1986,7,3,142,Ralph Dalton,Cleveland Cavaliers
