Position,Player,From club,Fee
MC,Hariss Harun,LionsXII,align=right| 0
DC,Baihakki Khaizan,LionsXII,align=right| 0
DC,Azizi Matt Rose,Kelantan,align=right| 0
DC,Mohd Izuan Jarudin,Johor,align=right| 0
DRLC,S. Subramaniam,Kelantan,align=right| 0
DMC,Mohd Shakir Shaari,Kelantan,align=right| 0
DRLC,Mohd Daudsu Jamaluddin,Kelantan,align=right| 0
DLC,Mohd Fadhli Mohd Shas,Harimau Muda A,align=right| 0
MC,Mohd Irfan Fazail,Harimau Muda A,align=right| 0
GK,Mohd Izham Tarmizi,Harimau Muda A,align=right| 0
DR,Mahali Jasuli,Selangor,align=right| 0
DL,Mohd Asraruddin Putra Omar,Selangor,align=right| 0
GK,Norazlan Razali,Selangor,align=right| 0
AMRC,Mohd Amri Yahyah,Selangor,align=right| 0
AMC,Pablo Aimar,Benfica,align=right| 0
AMRC,Mohd Amirul Hadi Zainal,Pahang,align=right| 0
AML,Nazrin Nawi,Negeri Sembilan,align=right| 0
ST,Luciano Figueroa,Panathinaikos,align=right| 0
