Year,Title,Role
1996,Kounterfeit,Travis
1999,Liberty Heights,Ben Kurtzman
2001,Get Over It,Berke Landers
2002,The Laramie Project,Aaron Kreifels
2002,Big Trouble,Matt Arnold
2002,Phone Booth,Big Q
2003,Northfork,Cod
2003,11:14,Eddie
2004,The Punisher,Spacker Dave
2004,The Heart Is Deceitful Above All Things,Fleshy Boy
2005,Hostage,Marshall Mars Krupcheck
2006,Alpha Dog,Jake Mazursky
2006,X-Men : The Last Stand,Warren Worthington III / Angel
2007,3:10 to Yuma,Charlie Prince
2007,30 Days of Night,The Stranger
2008,Birds of America,Jay
2009,The Messenger,Staff Sergeant Will Montgomery
2009,Blink,AJ
2009,Pandorum,Bower
2011,The Mechanic,Steve McKenna
