Medal,Championship,Name,Event
Silver,1997 Villach,Izasqun Bengoa,Women 's under-23 time trial
Gold,1998 Uppsala,Susanne Ljungskog,Women 's under-23 road race
Silver,1998 Uppsala,Susanne Ljungskog,Women 's under-23 time trial
Silver,2000 Kielce,Stefan Adamsson,Men 's under-23 road race
Gold,2002 Bergamo,Jonas Olsson,Men 's under-23 time trial
Gold,2004 Otepää,Monica Holler,Women 's under-23 road race
Silver,2005 Moscow,Monica Holler,Women 's under-23 road race
Bronze,2006 Valkenburg-Heerlen,Monica Holler,Women 's under-23 road race
Silver,2009 Hooglede-Gits,Emilia Fahlin,Women 's under-23 time trial
Silver,2010 Ankara,Emilia Fahlin,Women 's under-23 time trial
