Pick,Player,Drafted to,Recruited from,League,Games for new club
1,Peter Mann,West Coast,Claremont,WAFL,0
2,Ryan Turnbull,West Coast,Claremont,WAFL,129
3,Andrew Jarman,Brisbane Bears,North Adelaide,SANFL,0
4,Darren Jarman,Brisbane Bears,North Adelaide,SANFL,0
5,Kevin Caton,Brisbane Bears,Fitzroy,AFL,8
6,Peter Davidson,Brisbane Bears,West Coast,AFL,7
7,Brian Hinkley,Brisbane Bears,Essendon,AFL,0
8,Doug Smart,Brisbane Bears,North Adelaide,SANFL,0
9,Darren Denneman,Sydney,Geelong,AFL,3
10,Shane Fell,Sydney,Geelong,AFL,15
11,John Fidge,Sydney,Brisbane Bears,AFL,0
12,Paul Starbuck,Sydney,Carlton,AFL,1
