Rank,Country/territory/entity,Population,Density ( pop./km² ),Capital,Region
1,Vatican City,842,1913.6,Vatican City,Europe
2,Nauru,"9,488",451.8,None,Oceania
3,Tuvalu,"10,782",414.7,Funafuti,Oceania
4,Palau,"21,186",46.2,Ngerulmud,Oceania
5,San Marino,"32,742",536.8,San Marino,Europe
6,Monaco,"37,308",18469.3,Monaco-Ville,Europe
7,Liechtenstein,"37,313",233.2,Vaduz,Europe
8,Saint Kitts and Nevis,"51,538",197.5,Basseterre,Caribbean
9,Marshall Islands,"70,983",392.2,Majuro,Oceania
10,Dominica,"73,449",97.8,Roseau,Caribbean
11,Andorra,"85,458",182.6,Andorra la Vella,Europe
12,Antigua and Barbuda,"91,295",206.1,St. John 's,Caribbean
13,Seychelles,"91,650",201.4,Victoria,Africa - Indian Ocean
14,Saint Vincent and the Grenadines,"102,918",264.6,Kingstown,Caribbean
15,Kiribati,"104,488",128.8,Tarawa,Oceania
16,"Micronesia , Federated States of","105,681",150.5,Palikir,Oceania
17,Tonga,"106,440",142.5,Nukuʻalofa,Oceania
18,Grenada,"110,152",320.2,St. George 's,Caribbean
19,Saint Lucia,"163,362",265.2,Castries,Caribbean
20,São Tomé and Príncipe,"190,428",197.5,São Tomé,Africa - Atlantic Ocean
