Name,Position,Persepolis career
Aziz Asli,Goalkeeper,1968-71
Hadi Tavoosi,Goalkeeper,"1968-69 , 1970-74"
Hamid Shirzadegan,Forward,1968-74
Ebrahim Ashtiani,Defender,"1968-69 , 1970-76"
Büyük Vatankhah,Defender,"1968-69 , 1970-74"
Nazem Ganjapour,Forward,"1968-69 , 1970-72"
Jafar Kashani,Defender,"1968-69 , 1970-75"
Hossein Kalani,Forward,"1968-69 , 1970-75"
Fereydoun Moeini,Midfielder,"1968-69 , 1970-76"
Reza Vatankhah,Defender,"1968-69 , 1970-80"
Mahmoud Khordbin,Forward,1969-80
Homayoun Behzadi,Forward,1970-75
Mehrab Shahrokhi,Defender,1970-75
Ali Parvin,Midfielder,1970-88
Safar Iranpak,Forward,1970-80
Esmaeil Haj Rahimipour,Midfielder,1970-78
Iraj Soleimani,Forward,1971-75
Mohammad Reza Khalatbari,Midfielder,1971-78
Bahram Mavaddat,Goalkeeper,1973-76
Javad Allahverdi,Defender,1974-81
