Team,Location,Stadium,Capacity
Erzgebirge Aue,Aue-Bad Schlema,Sparkassen-Erzgebirgsstadion,"15,711"
Arminia Bielefeld,Bielefeld,Schüco-Arena,"27,300"
VfL Bochum,Bochum,Vonovia-Ruhrstadion,"29,299"
Darmstadt 98,Darmstadt,Merck-Stadion am Böllenfalltor,"17,000"
Dynamo Dresden,Dresden,DDV-Stadion,"32,066"
Greuther Fürth,Fürth,Sportpark Ronhof,"18,500"
Hamburger SV,Hamburg,Volksparkstadion,"57,000"
Hannover 96,Hanover,HDI-Arena,"49,000"
1 . FC Heidenheim,Heidenheim,Voith-Arena,"15,000"
Karlsruher SC,Karlsruhe,Wildparkstadion,"29,699"
Holstein Kiel,Kiel,Holstein-Stadion,"11,386"
1 . FC Nürnberg,Nuremberg,Max-Morlock-Stadion,"49,923"
VfL Osnabrück,Osnabrück,Stadion an der Bremer Brücke,"16,667"
Jahn Regensburg,Regensburg,Continental Arena,"15,224"
SV Sandhausen,Sandhausen,BWT-Stadion am Hardtwald,"12,100"
FC St. Pauli,Hamburg,Millerntor-Stadion,"29,546"
VfB Stuttgart,Stuttgart,Mercedes-Benz Arena,"60,449"
SV Wehen Wiesbaden,Wiesbaden,BRITA-Arena,"12,250"
