Character,Species,Work,Author,Notes
Aragog,Spider,Harry Potter and the Chamber of Secrets,J. K. Rowling,"Aragog was an Acromantula - an enormous , sentient spider capable of speech - who made a unique clicking noise as he moved in search of prey . Hagrid raised him from an egg as a Hogwarts student . In his third year at Hogwarts , Hagrid was caught talking to Aragog in the dungeons by Tom Riddle , who alleged that Aragog was the Monster of Slytherin and that Hagrid had opened the Chamber of Secrets"
Arianwen,Spider,The Snow Spider,Jenny Nimmo,
Charlotte A. Cavatica,Spider,Charlotte 's Web,E. B . White,A spider who befriends Wilbur the pig ; she at first seems bloodthirsty due to her method of catching food
The Gnat,Gnat,Alice Through the Looking Glass,Lewis Carroll,"The Gnat seems to love jokes ; however , he does n't like telling them himself - he prefers others to tell the jokes"
The Louse and the Flea,"Louse , Flea",The Louse and the Flea,Traditional,Characters in a fairy tale collected by the Brothers Grimm
Doris,Bee,Doris the Buzzy Bee,,
Madam Octa,Spider,Cirque du Freak : The Saga of Darren Shan,Darren Shan,"A rare if not extinct species of very large spider used by the vampire , Mr. Crepsley , to perform in his stage act , where he communicates with her telepathically . Her venomous bite is extremely deadly , as shown when she bites Steve Leonard and he almost dies ( surviving only thanks to antivenin )"
Maya,Bee,Maya the Bee,Waldemar Bonsels,"Main character in a popular series of German children 's novels , later adapted into films and TV animated series"
Miss Spider,Spider,Miss Spider,David Kirk,
Miss Spider,Spider,James and the Giant Peach,Roald Dahl,
Seven flies,Fly,The Brave Little Tailor,Traditional,"The plot of this famous fairy tale by the Brothers Grimm is set in motion by the fact that the tailor kills seven flies in one blow . When he brags about this people assume he is talking about giants , causing the king to send him away on a mission to kill a giant that torments the country"
Shelob,Spider,The Lord of the Rings,J. R. R. Tolkien,"A giant spider from J. R. R. Tolkien 's Middle-earth legendarium . She appears at the end of the fourth book , second volume ( The Two Towers ) of The Lord of the Rings . She is said to be a child of Ungoliant"
Ungoliant,Spider,The Silmarillion,J. R. R. Tolkien,"Described as an evil spirit in the form of a spider . She is mentioned briefly in The Lord of the Rings , and plays a supporting role in The Silmarillion . Her origins are unclear , as Tolkien 's writings only reveal than that she is from before the world . She is one of a few instances , along with Tom Bombadil and the Cats of Queen Berúthiel"
Manticore,Arachnid,A Song of Ice and Fire,George R.R . Martin,"Is said to possess highly toxic venom and is incredibly aggressive and dangerous species of spider . While small , are shown to be incredibly fast and agile . Also portrayed in the TV series adaptation Game of Thrones"
