Jurisdiction,Rate ( Standard ),Rate ( Reduced ),Abbr,Name
Austria,20%,13% or 10%,MwSt . ; USt,German : Mehrwertsteuer / Umsatzsteuer
Belgium,21%,12% or 6%,BTW ; TVA ; MWSt,Dutch : Belasting over de toegevoegde waarde ; French : Taxe sur la Valeur Ajoutée ; German : Mehrwertsteuer
Bulgaria,20%,9%,ДДС,Bulgarian : Данък върху добавената стойност ( Danăk vărhu dobavenata stojnost )
Cyprus ∟ Akrotiri and Dhekelia,19%,9% or 5%,ΦΠΑ,Greek : Φόρος Προστιθέμενης Αξίας ( Fóros Prastithémenes Axías )
Czech Republic,21%,15% or 10%,DPH,Czech : Daň z přidané hodnoty
Croatia,25%,13% or 5%,PDV,Croatian : Porez na dodanu vrijednost
Denmark,25%,none,moms,Danish : Meromsætningsafgift
Estonia,20%,9%,km,Estonian : käibemaks
Finland,24%,14% or 10%,ALV ; Moms,Finnish : Arvonlisävero ; Swedish : Mervärdesskatt
France ∟ Monaco,20%,"10% , 5.5% or 2.1%",TVA,French : Taxe sur la valeur ajoutée
Germany,19%,7%,MwSt . ; USt,German : Mehrwertsteuer / Umsatzsteuer
Greece,24%,13% or 6%,ΦΠΑ,Greek : Φόρος Προστιθέμενης Αξίας ( Fóros Prostithémenis Axías )
Hungary,27%,18% or 5%,ÁFA,Hungarian : általános forgalmi adó
Ireland,23%,"13.5% , 9% , 4.8% or 0%",VAT ; CBL,English : Value Added Tax ; Irish : Cáin Bhreisluacha
Italy,22%,"10% , 5% , or 4%",IVA,Italian : Imposta sul Valore Aggiunto
Latvia,21%,12% or 5%,PVN,Latvian : Pievienotās vērtības nodoklis
Lithuania,21%,9% or 5%,PVM,Lithuanian : Pridėtinės vertės mokestis
Luxembourg,17% [ 1 ],"14% , 8% , or 3%",TVA,French : Taxe sur la Valeur Ajoutée
Malta,18%,"7% , 5% or 0%",VAT,Maltese : Taxxa fuq il-Valur Miżjud ; English : Value Added Tax
Netherlands,21%,9% or 0%,BTW,Dutch : Belasting toegevoegde waarde / Omzetbelasting
