Title,Original Artist,Album,Year
Baby 's Coming Back,Jellyfish,All the Greatest Hits,2007
Black or White,Michael Jackson,Radio : ACTIVE Live at Wembley /Nokia Green Room,2008/-09
Build Me Up Buttercup ( with Busted ),The Foundations,Crashed The Wedding CD1,2003
Crazy Little Thing Called Love,Queen,Room On The 3rd Floor CD1,2004
Deck The Halls,Traditional Christmas Carol,Room On The 3rd Floor CD2,2004
Do n't Stop Me Now,Queen,Motion in the Ocean,2006
Dynamite,Taio Cruz,Radio 1 's Live Lounge - Volume 5,2010
Fight For Your Right,Beastie Boys,The Greatest Bits : B-Sides & Rarities,2007
Help !,The Beatles,Obviously CD2,2004
I Kissed A Girl,Katy Perry,Do Ya/Stay with Me,2008
I Predict A Riot,Kaiser Chiefs,Ultraviolet/The Ballad of Paul K CD2,2005
I Got ta Feeling,The Black Eyed Peas,European Tour,2009
Lola ( with Busted ),The Kinks,5 Colours in Her Hair CD1,2004
Mr Brightside,The Killers,I Wan na Hold You CD1,2005
My Generation ( with Roger Daltrey ),The Who,Recorded for Teenage Cancer Trust . Released exclusively through the HMV 's download site,2005
Pinball Wizard,The Who,I 'll Be OK CD2,2005
Pass Out,Tinie Tempah,Above The Noise Tour,2011
The Promise,Girls Aloud,Played live during the Up Close ... and this time it 's personal Tour,2009
Rockin ' Robin,Bobby Day,Sorry 's Not Good Enough/Friday Night,2006
Santa Claus Is Coming To Town,J. Fred Coots and Haven Gillespie,The Greatest Bits : B-Sides & Rarities,2007
