Date,Name,Moving from,Moving to,Fee
"July 2 , 2012",Cyriac,Standard Liège,Anderlecht,2 000 000 €
"July 2 , 2012",Benoît Ladrière,Tubize,Waasland-Beveren,Undisclosed
"July 2 , 2012",Nicklas Pedersen,Groningen,Mechelen,Undisclosed
"July 3 , 2012",Astrit Ajdarević,Norrköping,Standard Liège,Undisclosed
"July 5 , 2012",Moussa Gueye,Charleroi,Metz,Undisclosed
"July 5 , 2012",Romeo Van Dessel,Mechelen,Dender EH,Undisclosed
"July 6 , 2012",Júnior Díaz,Club Brugge,Mainz,Undisclosed
"July 7 , 2012",Junior Malanda,Lille,Zulte Waregem,Undisclosed
"July 10 , 2012",Karim Tarfi,Anderlecht,De Graafschap,Loan
"July 11 , 2012",Birkir Bjarnason,Standard Liège,Pescara,Loan
"July 11 , 2012",Adnan Čustović,Beerschot,Tournai,Free
"July 11 , 2012",Yassine El Ghanassy,Gent,West Bromwich Albion,Loan
"July 11 , 2012",Jim Larsen,Rosenborg,Club Brugge,Undisclosed
"July 11 , 2012",Franco Zennaro,Standard Liège,Waasland-Beveren,Loan
"July 13 , 2012",Eiji Kawashima,Lierse,Standard Liège,Undisclosed
"July 13 , 2012",Jonas Laureys,Mechelen,Westerlo,Loan
"July 13 , 2012",Papa Sene,Cercle Brugge,Roeselare,Loan
"July 14 , 2012",Andréa Mbuyi-Mutombo,Cercle Brugge,Rijeka,Free
"July 14 , 2012",Lucas Walbrecq,Standard Liège,Genk,Undisclosed
"July 17 , 2012",Karim Belhocine,Standard Liège,Waasland-Beveren,Undisclosed
