Team,City,In 2012,Stadium,Capacity,Titles ( latest )
Belo Jardim Futebol Clube,Belo Jardim,8th ( Série A1 ),Mendonção/SESC,"5,259",0 ( none )
Central Sport Club,Caruaru,10th ( Série A1 ),Lacerdão,"19,548",0 ( none )
Chã Grande Futebol Clube,Chã Grande,1st ( Série A2 ),Barbosão,"4,000",0 ( none )
Clube Náutico Capibaribe,Recife,4th ( Série A1 ),Aflitos,"22,856",21 ( last in 2004 )
Pesqueira Futebol Clube,Pesqueira,2nd ( Série A2 ),Joaquim José de Brito,"3,500",0 ( none )
Petrolina Social Futebol Clube,Petrolina,5th ( Série A1 ),Paulo de Souza Coelho,"5,000",0 ( none )
Clube Atlético do Porto,Caruaru,7th ( Série A1 ),Lacerdão,"19,548",0 ( none )
Salgueiro Atlético Clube,Salgueiro,3rd ( Série A1 ),Cornélio de Barros,"10,240",0 ( none )
Santa Cruz Futebol Clube,Recife,1st ( Série A1 ),Arruda,"60,040",26 ( last in 2012 )
Serra Talhada Futebol Clube,Serra Talhada,9th ( Série A1 ),Nildo Pereira,"5,000",0 ( none )
Sport Club do Recife,Recife,2nd ( Série A1 ),Ilha do Retiro,"32,983",39 ( last in 2010 )
Sociedade Esportiva Ypiranga Futebol Clube,Santa Cruz,6th ( Série A1 ),Limeirão,"5,000",0 ( none )
