Player,Original club,New club,Traded for
Ryan Fitzgerald,Sydney Swans,Adelaide Crows,draft pick # 28
Kris Massie,Carlton,Adelaide Crows,Andrew Eccles
Ben Nelson,Carlton,Adelaide Crows,David Gallagher
Daniel Schell,Fremantle,Adelaide Crows,draft pick # 56
Andrew Eccles,Adelaide Crows,Carlton,Kris Massie
David Gallagher,Adelaide Crows,Carlton,Ben Nelson
Corey McKernan,Kangaroos,Carlton,Mark Porter and draft picks # 14 & # 30
Justin Murphy,Geelong,Carlton,draft pick # 23
Lindsay Smith,Kangaroos,Carlton,draft pick # 61
Trent Croad,Hawthorn,Fremantle,"draft picks # 1 , # 20 & # 36"
Jeff Farmer,Melbourne,Fremantle,draft pick # 17
Luke McPharlin,Hawthorn,Fremantle,"draft picks # 1 , # 20 & # 36"
Troy Simmonds,Melbourne,Fremantle,Daniel Bandy ( 3-way trade with Western Bulldogs )
Brent Grgic,Melbourne,Geelong,draft pick # 55
David Bourke,Richmond,Kangaroos,draft pick # 68
Mark Porter,Carlton,Kangaroos,Corey McKernan and draft picks # 23 & # 39
Clint Bizzell,Geelong,Melbourne,draft picks # 17 & # 41
Craig Ellis,Western Bulldogs,Melbourne,Troy Simmonds ( 3-way trade with Fremantle )
Peter Vardy,Adelaide Crows,Melbourne,draft pick # 56
Damien Hardwick,Essendon,Port Adelaide,draft picks # 31 & 47
