Year,Actor,Title ( role ),Nominees
1995,Xie Shaoguang 谢韶光,Larceny of Love 雌雄大盗 ( Jiang Zefu 江泽夫 ),Chen Shucheng 陈澍城 - Strange Encounters 奇缘之塞外胡笳 ( Cai Hong 蔡弘 ) Richard Low 刘谦益 - Coffee or Tea 是非屋 ( TBC ) Zhang Wenxiang 张汶祥 - Young Justice Bao 侠义包公 ( Zhan Zhao 展昭 ) Zhu Houren 朱厚任 - Thunder Plot 惊天大阴谋 ( Ren Yonggang 任永刚 )
1996,Xie Shaoguang 谢韶光,The Golden Pillow 金枕头 ( Sai Wei 賽威 ),Ang Puay Heng 洪培兴 - Dr Justice 法医故事 ( TBC ) Zhang Wenxiang 张汶祥 - The Golden Pillow 金枕头 ( Zhou Hongsheng 周洪生 ) Zheng Geping 郑各评 - Tofu Street 豆腐街 ( Wang A'xiong 王阿雄 ) Zhu Houren 朱厚任 - The Teochew Family 潮州家族 ( Fu Guobing 符国炳 )
1997,Richard Low 刘谦益,The Silver Lining 骤雨骄阳 ( Huang Qinghe 黄庆和 ),Chen Guohua 陈国华 - The Price of Peace 和平的代价 ( Zhang A'da 张阿大 ) Chen Shucheng 陈澍城 - The Price of Peace 和平的代价 ( Tan Kah Kee 陈嘉庚 ) Chen Tianwen 陈天文 - The Royal Monk 真命小和尚 ( Tie Tong 铁桶 ) Huang Yiliang 黄奕良 - Brave New World 新阿郎 ( Gao Hongfei 高鸿飞 )
1998,Chen Guohua 陈国华,Around People 's Park 珍珠街坊 ( Qing 阿青 ),Chunyu Shanshan 淳于珊珊 - Rising Expectations 长河 ( Zheng Zhijie Jack 郑志杰 ) Lin Yisheng 林益盛 - The New Adventures of Wisely 卫斯理传奇 ( Chen Changqing 陈长青 ) Richard Low 刘谦益 - Living in Geylang 芽笼芽笼 ( Wang A'pao 王阿炮 ) Zheng Geping 郑各评 - The Return of the Condor Heroes 神雕侠侣 ( Jinlun Fawang 金轮法王 )
1999,Tay Ping Hui 郑斌辉,Stepping Out 出路 ( Liu Mei 刘妹 ),Chunyu Shanshan 淳于珊珊 - Stepping Out 出路 ( Lin Baotian 林保田 ) Brandon Wong 黄炯耀 - Wok of Life 福满人间 ( Wang Xia 汪虾 ) Zheng Geping 郑各评 - Wok of Life 福满人间 ( Huang Xiaodong 黄小东 ) Zhu Houren 朱厚任 - Wok of Life 福满人间 ( Zeng Nanhua 曾南华 )
2000,Chen Guohua 陈国华,My Home Affairs 家事 ( Zheng Dayong 郑大勇 ),Vincent Ng 翁清海 - Hainan Kopi Tales 琼园咖啡香 ( Long Yonglin 龙永霖 ) Ix Shen 沈倾掞 - Hero of the Times 新方世玉 ( Nalan Degang 纳兰德刚 ) Yao Wenlong 姚彣隆 - Hainan Kopi Tales 琼园咖啡香 ( Long Yong'an 龙永安 ) Zheng Geping 郑各评 - The Legendary Swordsman 笑傲江湖 ( Yue Buqun 岳不群 )
2001,Yao Wenlong 姚彣隆,Looking for Stars 星锁 ( Tequila ),Chen Shucheng 陈澍城 - Beyond the Axis of Truth 法医X档案 ( Wu Mingwei 伍名卫 ) Vincent Ng 翁清海 - Heroes in Black 我来也 ( Fan Yuan 范元 ) Nick Shen 沈炜竣 - Three Women and A Half 三个半女人 ( Jeffery ) Rayson Tan 陈泰铭 - Three Women and A Half 三个半女人 ( Ken )
2002,Huang Yiliang 黄奕良,The Vagrant 豹子胆 ( Huang Jinlang 黄金浪 ),Chen Shucheng 陈澍城 - The Wing of Desire 天使的诱惑 ( Hu Tie 胡铁 ) Huang Bingjie 黄炳杰 - The Wing of Desire 天使的诱惑 ( Lin Jiahao 林家豪 ) Nick Shen 沈炜竣 - The Reunion 顶天立地 ( San Wan 三万 ) Yao Wenlong 姚彣隆 - Viva Le Famille 好儿好女 ( Sun Yutai 孙裕泰 )
2003,Huang Yiliang 黄奕良,Holland V 荷兰村 ( Tian Dahua 田大华 ),Huang Wenyong 黄文永 - Holland V 荷兰村 ( Lin Jingcai 林精彩 ) Andrew Seow 萧乙铭 - Love Is Beautiful 美丽家庭 ( Huang Leshan 黄乐善 ) Jeff Wang 王建復 - Holland V 荷兰村 ( Ying Tiancheng Edison 应天承 ) Yao Wenlong 姚彣隆 - Holland V 荷兰村 ( Li A'ming 李阿明 )
2004,Andrew Seow 萧乙铭,Man at Forty 跑吧，男人！ ( Tang Tang 糖糖 ),Chen Shucheng 陈澍城 - Room in My Heart 真心蜜语 ( Li Ashun 李阿顺 ) Nick Shen 沈炜竣 - Always on My Mind 无炎的爱 ( Tang Xinhai 汤心海 ) Jeff Wang 王建復 - Double Happiness I 喜临门I ( Luo Jiafu 罗家福 ) Zhang Wenxiang 张汶祥 - Timeless Gift 遗情未了 ( Wang Xi 王喜 )
