No,Pos,Name,Age,To
7,MF,S. Kunanlan,27,Selangor FA
10,FW,Jean-Emmanuel Effa Owona,30,Terengganu FA
11,MF,Mohd Shaffik Abdul Rahman,29,Free Agent
12,MF,Shukor Adan,34,ATM FA
13,DF,Marian Farbák,30,TJ Jednota Brestovec
14,DF,G. Mahathevan,25,T-Team F.C
16,DF,Qhairul Anwar Roslani,26,Terengganu FA
19,MF,Parameswaran Vijayan,26,Free Agent
25,GK,Mohd Farizal Marlias,27,Perak FA
26,FW,Khairul Ridzwan Othman,22,Sime Darby Plantation F.C
29,MF,Abdul Rahman Abdul Ghani,22,Free Agent
33,FW,Khairul Izuan Abdullah,27,PDRM FA
34,DF,Azmeer Yusof,23,Pos Malaysia F.C
35,MF,K. Thanaraj,27,Sabah FA
