Club,City,Finishing in 2018-19,First season in top division,Stadium,Official website
FK Budućnost,Podgorica,2nd,1946-47,"Stadion pod Goricom ( 15,230 )",fk-buducnost.me
OFK Grbalj,Radanovići,6th,2006-07,"Stadion Donja Sutvara ( 1,500 )",ofkgrbalj.me
FK Iskra,Danilovgrad,5th,2015-16,"Braća Velašević Stadium ( 2,500 )",
FK Kom,Podgorica,2nd in Druga CFL,2003-04,"Stadion Zlatica ( 1,200 )",
OFK Petrovac,Petrovac,7th,2006-07,"Stadion pod Malim brdom ( 1,630 )",ofkpetrovac.com
FK Podgorica,Podgorica,1st in Druga CFL,2019-20,"DG Arena ( 4,000 )",
FK Rudar,Pljevlja,8th,1993-94,"Stadion pod Golubinjom ( 5,140 )",fkrudarpljevlja.com
FK Sutjeska,Nikšić,1st,1964-65,"Stadion kraj Bistrice ( 5,214 )",fksutjeska.me
OFK Titograd,Podgorica,4th,2006-07,"Mladost Stadium ( 1,250 )",ofktitograd.me
FK Zeta,Golubovci,3rd,2000-01,"Stadion Trešnjica ( 4,000 )",fkzeta.net
