Games,Gold,Silver,Bronze
1948 St. Moritz details,Edy Reinalter Switzerland,James Couttet France,Henri Oreiller France
1952 Oslo details,Othmar Schneider Austria,Stein Eriksen Norway,Guttorm Berge Norway
1956 Cortina d'Ampezzo details,Toni Sailer Austria,Chiharu Igaya Japan,Stig Sollander Sweden
1960 Squaw Valley details,Ernst Hinterseer Austria,Hias Leitner Austria,Charles Bozon France
1964 Innsbruck details,Josef Stiegler Austria,Billy Kidd United States,Jimmy Heuga United States
1968 Grenoble details,Jean-Claude Killy France,Herbert Huber Austria,Alfred Matt Austria
1972 Sapporo details,Francisco Fernández Ochoa Spain,Gustav Thöni Italy,Roland Thöni Italy
1976 Innsbruck details,Piero Gros Italy,Gustav Thöni Italy,Willi Frommelt Liechtenstein
1980 Lake Placid details,Ingemar Stenmark Sweden,Phil Mahre United States,Jacques Lüthy Switzerland
1984 Sarajevo details,Phil Mahre United States,Steve Mahre United States,Didier Bouvet France
1988 Calgary details,Alberto Tomba Italy,Frank Wörndl West Germany,Paul Frommelt Liechtenstein
1992 Albertville details,Finn Christian Jagge Norway,Alberto Tomba Italy,Michael Tritscher Austria
1994 Lillehammer details,Thomas Stangassinger Austria,Alberto Tomba Italy,Jure Košir Slovenia
1998 Nagano details,Hans Petter Buraas Norway,Ole Kristian Furuseth Norway,Thomas Sykora Austria
2002 Salt Lake City details,Jean-Pierre Vidal France,Sébastien Amiez France,Benjamin Raich Austria
2006 Turin details,Benjamin Raich Austria,Reinfried Herbst Austria,Rainer Schönfelder Austria
2010 Vancouver details,Giuliano Razzoli Italy,Ivica Kostelić Croatia,André Myhrer Sweden
2014 Sochi details,Mario Matt Austria,Marcel Hirscher Austria,Henrik Kristoffersen Norway
2018 Pyeongchang details,André Myhrer Sweden,Ramon Zenhäusern Switzerland,Michael Matt Austria
