Year,Character,Actor ( s ),Video game
2001,Charlie Kane 's unnamed son,Ian Axness,Twisted Metal Black
2002,Cassandra Murata,n/a ; game does not feature voice acting,Rage of the Dragons
2005,Jade ( The Indigo Child ),n/a ; silent,Fahrenheit
2007,Dr. Brigid Tenenbaum,Anne Bobby,BioShock
2007,Simone Cole,Michelle Specht,Clive Barker 's Jericho
2010,David Archer,Jesse Gervais,Mass Effect 2
2011,River Wyles,n/a ; game does not feature voice acting,To The Moon
2012,Amy,Kriss Logan ( grunts ),Amy
2012,Patricia Tannis,Colleen Clinkenbeard,Borderlands 2
2016,Symmetra,Anjali Bhimani,Overwatch
2016,Josh Sauchak,Jonathan Dubsky,Watch Dogs 2
