Team,Stadium,Capacity,City/Area
Minis Arluy VB Logroño,CDM Lobete,"1,100",Logroño
Fachadas Dimurol Libby 's,Pablos Abril,500,San Cristóbal de La Laguna
Haro Rioja Voley,El Ferial,800,Haro
Feel Volley Alcobendas,Luis Buñuel,100,Alcobendas
Aguere Ciudad de la Laguna,Juan Ríos Tejera,"3,500",San Cristóbal de La Laguna
CVB-Barça,L'Hospitalet Nord,"1,000",Barcelona
Avarca de Menorca,Pavelló Municipal,"2,500","Ciutadella , Balearic Islands"
CCO 7 Palmas Gran Canaria,Centro Insular,"5,200",Las Palmas de Gran Canaria
DSV Sant Cugat,Pavelló Municipal de Valldoreix,700,Sant Cugat del Vallès
VP Madrid,CDM Entrevías,700,Madrid
Cajasol Juvasa,Los Montecillos,"1,500","Dos Hermanas , Andalusia"
Arona Tenerife Sur,Jesús Domínguez Grillo,"1,000","Arona , Canary Islands"
