Pos,No,Driver,Constructor,Lap,Gap
1,9,Kimi Räikkönen,McLaren - Mercedes,1:26.797,-
2,6,Giancarlo Fisichella,Renault,1:27.039,+0.242
3,5,Fernando Alonso,Renault,1:27.050,+0.253
4,10,Juan Pablo Montoya,McLaren - Mercedes,1:27.352,+0.555
5,16,Jarno Trulli,Toyota,1:27.501,+0.704
6,8,Nick Heidfeld,Williams - BMW,1:27.929,+1.132
7,7,Mark Webber,Williams - BMW,1:27.944,+1.147
8,12,Felipe Massa,Sauber - Petronas,1:28.419,+1.622
9,17,Ralf Schumacher,Toyota,1:28.594,+1.797
10,15,Christian Klien,Red Bull - Cosworth,1:28.963,+2.166
11,2,Rubens Barrichello,Ferrari,1:29.369,+2.572
12,14,David Coulthard,Red Bull - Cosworth,1:29.764,+2.967
13,3,Jenson Button,BAR - Honda,1:30.063,+3.266
14,4,Takuma Sato,BAR - Honda,1:30.175,+3.378
15,18,Tiago Monteiro,Jordan - Toyota,1:30.710,+3.913
16,21,Christijan Albers,Minardi - Cosworth,1:32.186,+5.389
17,20,Robert Doornbos,Minardi - Cosworth,no time,
18,11,Jacques Villeneuve,Sauber - Petronas,no time,
19,19,Narain Karthikeyan,Jordan - Toyota,-,
20,1,Michael Schumacher,Ferrari,-,
