Name,Hometown,Elimination
Prashant Tamang,Darjeeling,Winner
Amit Paul,Shillong,1st Runner-up
Emon Chatterjee,Kolkata,2nd Runner-up
Ankita Mishra,New Delhi,3rd Runner-up
Meiyang Chang,Dhanbad,Eliminated 9th
Deepali Kishore,Patna,Eliminated 8th
Pooja Chatterjee,Dhanbad,Eliminated 7th
Abhishek Kumar,Mumbai,Eliminated 6th
Parleen Singh Gill,Ambala,Eliminated 5th
Charu Semwal,Dehradun,Eliminated 4th
Smita Adhikari,Kolkata,Eliminated 3rd
Jolly Das,Kolkata,Eliminated 2nd
Richa Aneja,Punjab,Eliminated 1st
