City,Country,Population,Agglomeration,Year
Istanbul,Turkey,"9,000,000","10,000,000",2018
Bucharest,Romania,"1,887,485","2,272,163",2018
Sofia,Bulgaria,"1,313,595","1,995,950",2018
Belgrade,Serbia,"1,119,696","1,659,440",2018
Zagreb,Croatia,"792,875","1,113,111",2011
Athens,Greece,"664,046","3,753,783",2018
Skopje,North Macedonia,"444,800","506,926",2018
Tirana,Albania,"418,495","800,986",2018
Plovdiv,Bulgaria,"411,567","396,092",2018
Varna,Bulgaria,"395,949","383,075",2018
Thessaloniki,Greece,"325,182","1,012,297",2018
Cluj-Napoca,Romania,"324,576","411,379",2018
Timișoara,Romania,"319,279","356,443",2018
Ljubljana,Slovenia,"292,988","537,712",2018
Iași,Romania,"290,422","382,484",2018
Constanța,Romania,"283,872","425,916",2018
Novi Sad,Serbia,"277,522","341,625",2018
Sarajevo,Bosnia and Herzegovina,"275,524","413,593",2018
Craiova,Romania,"269,506","420,000",2018
Çorlu,Turkey,"253,500","273,362",2018
