Rank,Name,Population in 2010,Metro Areas
1,Miami,"5,502,379",Miami-Ft. Lauderdale- Pompano Beach Metropolitan Statistical Area
2,Tampa - St. Petersburg,"2,441,770","Tampa-St. Petersburg-Clearwater , Florida Metropolitan Statistical Area"
3,Orlando,"1,510,516","Orlando-Kissimmee , Florida , Metropolitan Statistical Area"
4,Jacksonville,"1,345,596",Jacksonville Metropolitan Statistical Area
5,Sarasota - Bradenton,"643,260","Bradenton-Sarasota-Venice , Florida Metropolitan Statistical Area and Punta Gorda , Florida Metropolitan Statistical Area"
6,Cape Coral,"530,290","Cape Coral-Fort Myers , Florida Metropolitan Statistical Area"
7,Palm Bay - Melbourne,"452,791","Palm Bay-Melbourne-Titusville , Florida Metropolitan Statistical Area"
8,Port St. Lucie,"376,047","Port St. Lucie , Florida Metropolitan Statistical Area"
9,Palm Coast - Daytona Beach - Port Orange,"349,064","Deltona-Daytona Beach-Ormond Beach , Florida Metropolitan Statistical Area"
10,Pensacola,"340,067",Pensacola-Ferry Pass-Brent Metropolitan Statistical Area
11,Kissimmee,"314,071","Orlando-Kissimmee , Florida , Metropolitan Statistical Area"
12,Bonita Springs,"310,298","Naples-Marco Island , Florida Metropolitan Statistical Area and Cape Coral-Fort Myers , Florida Metropolitan Statistical Area"
13,Lakeland,"262,596","Lakeland , Florida Metropolitan Statistical Area"
14,Tallahassee,"240,223","Tallahassee , Florida Metropolitan Statistical Area"
15,Winter Haven,"201,289","Lakeland , Florida Metropolitan Statistical Area"
16,Fort Walton Beach - Navarre - Wright,"191,917","Fort Walton Beach-Crestview-Destin , Florida Metropolitan Statistical Area and Pensacola-Ferry Pass-Brent , Florida Metropolitan Statistical Area"
17,Gainesville,"187,781","Gainesville , Florida Metropolitan Statistical Area"
18,Deltona,"182,169","Deltona-Daytona Beach-Ormond Beach , Florida Metropolitan Statistical Area"
19,North Port - Port Charlotte,"169,541","Punta Gorda , Florida Metropolitan Statistical Area and Sarasota-Bradenton-Venice , Florida Metropolitan Statistical Area"
20,Ocala,"156,909","Ocala , Florida Metropolitan Statistical Area"
