Year,Title,Role
2009,Your Song Presents : Underage,Lina
2009,Kambal sa Uma,Myka
2009,I Love Betty La Fea,Ecomodel
2009-10,StarStruck,Herself
2010,Panday Kids,Luningning
2010,Survivor Philippines : Celebrity Showdown,Herself
2010,Reel Love Presents : Tween Hearts,Vanessa
2010,Jillian : Namamasko Po,Maya
2011,"My Lover , My Wife",Hazel
2011,Captain Barbell Ang Pagbabalik,Margarita / Marnie
2012,My Beloved,Trixie Montenegro
2012,Kasalanan Bang Ibigin Ka ?,Carissa
2012,Makapiling Kang Muli,Monina
2012,Yesterday 's Bride,Erica Samonte
2012,Magdalena,Chloe
2013,Indio,Young Victoria Sanreal
2013,Maghihintay Pa Rin,Stella Cruz-Villafuerte
2013,Genesis,Vanessa Viola
2014,Villa Quintana,Elena
2014,The Borrowed Wife,Mariel Quesada
