,Name on the Register,Date listed,Location,City or town
1,Adams Grove Presbyterian Church,"June 5 , 1986 ( # 86001239 )",Southern side of Cahaba-Greenville Rd . 32°16′20″N 87°01′51″W / 32.272222°N 87.030833°W / 32.272222 ; -87.030833 ( Adams Grove Presbyterian Church ),Sardis
2,Antique Store,"January 29 , 1987 ( # 86003662 )",Off State Route 22 32°39′32″N 86°55′24″W / 32.659023°N 86.923292°W / 32.659023 ; -86.923292 ( Antique Store ),Plantersville
3,Brown Chapel African Methodist Episcopal Church,"February 4 , 1982 ( # 82002009 )","410 Martin Luther King , Jr. St. 32°24′45″N 87°00′58″W / 32.4125°N 87.016111°W / 32.4125 ; -87.016111 ( Brown Chapel African Methodist Episcopal Church )",Selma
4,Cahaba,"May 8 , 1973 ( # 73000341 )",11 miles ( 18 km ) southwest of Selma at the junction of the Cahaba and Alabama Rivers 32°19′07″N 87°05′57″W / 32.318546°N 87.099266°W / 32.318546 ; -87.099266 ( Cahaba ),Cahaba
5,Carlowville Historic District,"January 18 , 1978 ( # 78000487 )",17 miles ( 27 km ) south of Selma on State Route 89 32°05′15″N 87°02′01″W / 32.087392°N 87.033691°W / 32.087392 ; -87.033691 ( Carlowville Historic District ),Carlowville
6,Christian Church and Parsonage,"January 29 , 1987 ( # 86003664 )",Off State Route 22 32°39′24″N 86°55′29″W / 32.656667°N 86.924722°W / 32.656667 ; -86.924722 ( Christian Church and Parsonage ),Plantersville
7,Dallas County Courthouse,"June 20 , 1975 ( # 75000310 )",109 Union St. 32°24′18″N 87°01′33″W / 32.405°N 87.025833°W / 32.405 ; -87.025833 ( Dallas County Courthouse ),Selma
8,Doctor 's Office,"January 29 , 1987 ( # 86003663 )",Junction of 1st Ave. north of Oak St. and 1st Ave. 32°41′03″N 86°55′24″W / 32.684167°N 86.923333°W / 32.684167 ; -86.923333 ( Doctor 's Office ),Plantersville
9,Driskell-Martin House,"January 29 , 1987 ( # 86003661 )",Northwestern corner of the junction of Cherry St. and 1st Ave. 32°39′36″N 86°55′26″W / 32.66°N 86.923889°W / 32.66 ; -86.923889 ( Driskell-Martin House ),Plantersville
10,First Baptist Church,"September 20 , 1979 ( # 79000383 )","709 Martin Luther King , Jr. St. 32°24′51″N 87°01′04″W / 32.414167°N 87.017778°W / 32.414167 ; -87.017778 ( First Baptist Church )",Selma
11,J. Bruce Hain House,"November 30 , 2001 ( # 01001295 )",5826 State Route 41 32°17′17″N 86°59′14″W / 32.288056°N 86.987222°W / 32.288056 ; -86.987222 ( J. Bruce Hain House ),Sardis
12,Icehouse Historic District,"June 28 , 1990 ( # 90000886 )","Roughly bounded by Jefferson Davis and Dallas Aves. , Union and Lapsley Sts. , and Valley Creek 32°24′39″N 87°01′54″W / 32.410889°N 87.031653°W / 32.410889 ; -87.031653 ( Icehouse Historic District )",Selma
13,Sullivan and Richie Jean Jackson House,"January 18 , 2014 ( # 13001033 )",1416 Lapsley Ave. 32°25′09″N 87°01′52″W / 32.419070°N 87.031244°W / 32.419070 ; -87.031244 ( Sullivan and Richie Jean Jackson House ),Selma
14,Marshall 's Grove,"February 4 , 1982 ( # 82002010 )",State Route 22 32°27′58″N 87°00′23″W / 32.466111°N 87.006389°W / 32.466111 ; -87.006389 ( Marshall 's Grove ),Selma
15,John Tyler Morgan House,"September 27 , 1972 ( # 72000159 )",719 Tremont St. 32°24′49″N 87°01′39″W / 32.413611°N 87.0275°W / 32.413611 ; -87.0275 ( John Tyler Morgan House ),Selma
16,Old Town Historic District,"May 3 , 1978 ( # 78000486 )","Roughly bounded by the Alabama River , Jefferson Davis Ave. , Pettus , Broad , and Franklin Sts . ; also Jefferson Davis Ave. ; an area roughly bounded by Broad , Dallas , U.S. Route 80 , and Franklin ; Selma Ave. ; and Franklin St. 32°24′37″N 87°01′31″W / 32.410201°N 87.025323°W / 32.410201 ; -87.025323 ( Old Town Historic District )",Selma
17,Edmund Pettus Bridge,"February 27 , 2013 ( # 13000281 )",U.S. Route 80 across the Alabama River 32°24′20″N 87°01′07″W / 32.4056°N 87.0186°W / 32.4056 ; -87.0186 ( Edmund Pettus Bridge ),Selma
18,Wesley Plattenburg House,"February 3 , 1993 ( # 92001827 )",601 Washington St. 32°24′50″N 87°01′20″W / 32.413889°N 87.022222°W / 32.413889 ; -87.022222 ( Wesley Plattenburg House ),Selma
19,Pleasant Hill Presbyterian Church,"April 22 , 1999 ( # 99000465 )",0.2 miles ( 0.32 km ) east of the junction of County Roads 7 and 12 32°09′53″N 86°54′30″W / 32.164722°N 86.908333°W / 32.164722 ; -86.908333 ( Pleasant Hill Presbyterian Church ),Pleasant Hill
20,Riverdale,"September 10 , 1979 ( # 79000384 )",Northeast of Selma on River Rd . 32°26′02″N 86°52′11″W / 32.433889°N 86.869722°W / 32.433889 ; -86.869722 ( Riverdale ),Selma
