Stadium,Capacity,City,Club,Opened
Stadion Maksimir,"35,423",Zagreb,Dinamo Zagreb,1912
Stadion Poljud,"35,000",Split,Hajduk Split,1979
Stadion Gradski vrt,"18,856",Osijek,Osijek,1980
Stadion Branko Čavlović-Čavlek,"12,000",Karlovac,Karlovac,1975
Stadion Anđelko Herjavec,"10,800",Varaždin,Varaždin,1931
Stadion Kantrida,"10,600",Rijeka,Rijeka ( 1946-2015 ),1913
Stadion Aldo Drosina,"9,800",Pula,Istra 1961,2011
Stadion Kranjčevićeva,"8,850",Zagreb,Lokomotiva,1921
Stadion HNK Cibalia,"8,500",Vinkovci,Cibalia,1966
Stadion Rujevica,"8,279",Rijeka,Rijeka,2015
Gradski stadion,"8,000",Sisak,Segesta,1956
Stadion Radnik,"8,000",Velika Gorica,Gorica,1987
Stadion SRC Mladost,"8,000",Čakovec,Međimurje,1987
Stadion Park,"8,000",Suhopolje,Suhopolje,?
Stadion Kamen Ingrad,"7,095",Velika,Kamen Ingrad,1999
Stadion Šubićevac,"6,824",Šibenik,Šibenik,1948
Gradski Stadion uz Savu,"6,000",Slavonski Brod,Marsonia,1979
Gradski stadion u Borovu Naselju,"6,000",Vukovar,Vukovar 1991,?
Stadion Stanovi,"5,860",Zadar,Zadar,1979
Stadion ŠRC Zaprešić,"5,228",Zaprešić,Inter Zaprešić,1987
