Rank,Country,Team,Time
1,Kenya,Tegla Loroupe Joyce Chepchumba Leah Malot,3:29:43
2,Romania,Lidia Simon Cristina Pomacu Constantina Diţă-Tomescu,3:32:19
3,Spain,Julia Vaquero María Luisa Lárraga Rocío Ríos,3:34:18
4,Russia,Alina Ivanova Svetlana Zakharova Firiya Sultanova-Zhdanova,3:34:37
5,Japan,Yukiko Okamoto Kazumi Matsuo Mayumi Ichikawa,3:36:18
6,Italy,Maria Guida Lucilla Andreucci Franca Fiacconi,3:36:42
7,South Africa,Elana Meyer Nicole Whiteford Marietjie McDermott,3:37:17
8,France,Rakiya Maraoui Zahia Dahmani Annick Clouvel,3:38:13
9,Germany,Sylvia Renz Maren Östringer Birgit Jerschabek,3:40:18
10,Switzerland,Franziska Rochat Daria Nauer Ursula Jeitziner,3:40:52
11,Ethiopia,Asha Gigi Leila Aman Elsabet Truneh,3:41:02
12,Portugal,Albertina Dias Rosa Oliveira Fátima Cabral,3:41:05
13,United States,Jody Hawkins Shelly Steely Christine McNamara,3:41:45
14,Belarus,Galina Karnatsevich/Baruk Yelena Mazovka Yelena Makolova,3:44:34
15,Great Britain,Liz Yelling/Talbot Debbie Percival Alison Wyeth,3:48:15
16,FR Yugoslavia,Olivera Jevtić Mirjana Glisovic Suzana Čirić,3:49:04
17,Czech Republic,Alena Peterková Dita Hebelková Irena Šádková,3:52:58
18,Zambia,Mable Chiwama Chanda Mwansa Jean Mpundu,4:01:43
