Name,Species,Work,Author,Notes
Benjamin,Donkey,Animal Farm,George Orwell,
Candlewick,Donkey,The Adventures of Pinocchio,Carlo Collodi,Boy who turns into a donkey
The Deer without a Heart,Deer,Aesop 's Fables,Aesop,
Eeyore,Donkey,Winnie-the-Pooh,A . A. Milne,
Pete,Sheep,Pete the Sheep,Jackie French,A sheep that acts like a sheep dog
Puzzle,Donkey,The Chronicles of Narnia,C. S. Lewis,
Giraffe,Giraffe,The Giraffe and the Pelly and Me,Roald Dahl,Giraffe who works together with a pelican and a monkey as a window cleaner . She describes herself as a Geraneous giraffe who only likes food from a very specific kind of tree
Rudolph,Reindeer,Rudolph the Red-Nosed Reindeer,Robert L. May,"A reindeer originally from the 1939 story 'Rudolph the Red-Nosed Reindeer ' , later adapted to a 1949 song , a 1964 television special , and various derivative works"
Bambi,Roe deer,"Bambi , A Life in the Woods",Felix Salten,"In the Disney films his species was changed to the white-tailed deer , which would be more familiar to American audiences . His image is a Disney icon , comparable to the recognition of Jiminy Cricket or Tinkerbell , and he is even shown on Disney stock certificates"
Zigby,Zebra,Zigby,Brian Paterson,
Ferdinand the Bull,Cow,The Story of Ferdinand,Munro Leaf and Robert Lawson,Peaceful and gentle Ferdinand prefers sniffing flowers to fighting in the arena
