Station,Type,Operator,Location,Capacity ( MW )
Brandon Shores,Bituminous coal,Raven Power,Orchard Beach,1370
Charles P. Crane,Bituminous coal,Raven Power,Bowleys Quarters,416
Calvert Cliffs,Nuclear,"Exelon , Électricité de France",Lusby,1829
Chalk Point,"Coal , oil , gas",NRG Energy,Eagle Harbor,2647
Conowingo,Hydroelectric,Exelon Corporation,Conowingo,507
Criterion Wind Project,Wind,Constellation,Oakland,70
Dickerson,"Coal , oil , gas",NRG Energy,Dickerson,930
Easton,,Easton Utilities,Easton,72
Gould Street,Natural gas,Constellation,Baltimore,103
Herbert A. Wagner,"Coal , oil , gas",Raven Power,Orchard Beach,1058
Luke Mill,,NewPage Corporation,Luke,65
Montgomery County Resource Recovery Facility,Waste,Northeast Maryland Waste Disposal Auth,Dickerson,68
Morgantown,Coal,NRG Energy,Morgantown,1548
Notch Cliff,,Constellation,Glen Arm,144
Panda Brandywine,,Panda Energy,Brandywine,289
Perryman,,Constellation,Perryman,404
Philadelphia Road,,Constellation,Baltimore County,83
Riverside,Natural gas,Constellation,Dundalk,257
Rock Springs,,Old Dominion Electric Cooperative,Rock Springs,773
Sparrows Point,,Severstal,Sparrows Point,120
