Year,Horse,Trainer,Owner
2018,Jaywalk,John Servis,D. J . Stable and Cash is King
2017,Caledonia Road,Ralph Nicks,"Zoom and Fish Stable , Spiring , Charlie and Newtown Anner Stud"
2016,Champagne Room,Peter Eurton,"Ciaglia , Exline-Border , et al"
2015,Songbird,Jerry Hollendorfer,Fox Hill Farm Inc
2014,Take Charge Brandi,D. Wayne Lukas,Willis Horton
2013,She 's a Tiger,Jeff Bonde,"Mark Dedomenico , Allen J Aldrich et al"
2012,Beholder,Richard E. Mandella,Spendthrift Farm
2011,My Miss Aurelia,Steve Asmussen,Stonestreet Stables
2010,Awesome Feather,Stanley I . Gold,"Jacks or Better Farms , Inc"
2009,She Be Wild,Wayne M. Catalano,Nancy Mazzoni
2008,Stardom Bound,Christopher Paasch,IEAH Stables & Charles Cono
2007,Indian Blessing,Bob Baffert,Patti & Hal J. Earnhardt III
2006,Dreaming of Anna,Wayne M. Catalano,Frank C. Calabrese
2005,Folklore,D. Wayne Lukas,Bob & Beverly Lewis
2004,Sweet Catomine,Julio C. Canani,Pam & Martin Wygod
2003,Halfbridled,Richard E. Mandella,Wertheimer et Frere
2002,Storm Flag Flying,Claude R. McGaughey III,Ogden Mills Phipps
2001,Tempera,Eoin G. Harty,Godolphin Racing
2000,Caressing,David R. Vance,Carl F. Pollard
1999,Chilukki,Bob Baffert,Stonerside Stable
