Team,Home town/suburb,Home ground
Albert Rovers,Cork,Flower Lodge
Bray Unknowns,Bray,Carlisle Grounds
Brideville,"The Liberties , Dublin",Richmond Park Harold 's Cross Stadium
Brooklyn,Merchants Quay,Chalgrove Terrace
Cork,Cork,The Mardyke
Cork City,Cork,The Mardyke
Cork Alberts,Cork,Flower Lodge Turners Cross
Cork Athletic,Cork,The Mardyke
Cork Bohemians,Cork,Turners Cross
Cork Celtic,Cork,Turners Cross
Cork Hibernians,Cork,The Mardyke
Cork United,Cork,The Mardyke
Dolphin,Dolphin 's Barn,Dolphin Park Harold 's Cross Stadium Tolka Park
Drumcondra,"Drumcondra , Dublin",Tolka Park
Dublin City,Fingal,various
Dublin United,"Donnybrook , Dublin",Beech Hill Anglesea Road
Evergreen United,Cork,Turners Cross
Fordsons,Cork,Ballinlough Road
Frankfort,"Drumcondra , Dublin",Richmond Road
Home Farm,"Whitehall , Dublin",Tolka Park
