Position,Player,To club,Fee
GK,Mohd Amirul Abu Seman,Perlis FA,align=right| 0
GK,Mohd Iqbal Suhaimi,ATM FA,align=right| 0
DR,Mohd Shazlan Alias,Selangor FA,align=right| 0
DL,Mohd Aizulridzwan Razali,Felda United F.C,align=right| 0
AML,Isma Alif Mohd Salim,Sabah FA,align=right| 0
AMRC,Mohd Saiful Mustafa,Malacca United F.C,align=right| 0
MC,Shafuan Adli Shaari,PKNS F.C,align=right| 0
AML,Pritam Singh Charun Singh,Sabah,align=right| 0
AMLR,Ahmad Syamim Yahya,Felda United F.C,align=right| 0
AMR,Muhamad Naim Zakaria,Harimau Muda B,align=right| 0
ST,Damir Ibrić,Released,align=right| 0
AMR/ST,Mohd Yusri Abas,Malacca United F.C,align=right| 0
ST,Fazuan Abdullah,Perlis FA,align=right| 0
D/DMC,G. Mahathevan,Penang,align=right| 0
ST,Abdul Latiff Suhaimi,Felda United F.C,align=right| 0
DR,Mazlizam Mohamad,Terengganu,align=right| 0
