,Rank in Final,Country,Institution,First to Solve Problem,No Of Question Solved
01,1,Russia,Moscow State University,Panda Preserve & Single Cut of Failure,9
02,2,Russia,Moscow Institute of Physics and Technology,Getting a Jump on Crime,8
03,3,China,Peking University,Gem Island,8
04,4,Japan,The University of Tokyo,,8
05,5,South Korea,Seoul National University,Comma Sprinkler,7
06,6,Australia,University of New South Wales,Wireless is the New Fiber,7
07,7,China,Tsinghua University,,7
08,8,China,Shanghai Jiao Tong University,,7
09,9,Russia,St. Petersburg ITMO University,Go with the Flow,7
10,10,United States,University of Central Florida,,7
11,11,United States,Massachusetts Institute of Technology,,7
12,12,Lithuania,Vilnius University,Catch the Plane,7
13,13,Russia,Ural Federal University,,7
