China Rank,Name,Net worth ( USD ),Citizenship,Sources of wealth
1,Jack Ma,40 billion,China,e-commerce
2,Wang Jianlin,24.2 billion,China,real estate
3,Li Hejun,21.1 billion,China,solar power equipment
4,Ma Huateng,16.1 billion,China,internet media
5,Robin Li,15.3 billion,China,internet search
6,Lei Jun,13.2 billion,China,smartphones
7,Zong Qinghou,10.3 billion,China,beverages
8,He Xiangjian,9.9 billion,China,home appliances
9,Wang Wenyin,9.9 billion,China,"mining , copper products"
10,Wei Jianjun,8.9 billion,China,automobiles
11,Liu Qiangdong,7.4 billion,China,e-commerce
12,Wang Jing,6.9 billion,China,telecom services
13,William Ding,6.6 billion,China,online games
14,Liu Yongxing,6.6 billion,China,agribusiness
15,Xu Jiayin,6.2 billion,China,real estate
16,Chan Laiwa,6.1 billion,China,real estate
17,Lu Zhiqiang,5.9 billion,China,diversified
18,Zhang Zhidong,5.8 billion,China,internet media
19,Guo Guangchang,5.7 billion,China,diversified
20,Lu Guanqiu,5.1 billion,China,diversified
