Club,League/Division,Lvl,State,City
East Bentleigh Strikers,Victorian State League Division 5,8,Victoria,Melbourne
East Brighton United,Victorian State League Division 5,8,Victoria,Melbourne
Eastern Lions,National Premier Leagues Victoria,2,Victoria,Melbourne
Eastern United,National Premier Leagues State League 2,4,South Australia,Adelaide
Eastern Suburbs,Football Queensland Premier League,3,Queensland,Brisbane
ECU Joondalup,National Premier Leagues Western Australia,2,Western Australia,Perth
Edgeworth,National Premier Leagues Northern NSW,2,New South Wales,Lake Macquarie
Eltham Redbacks,Victorian State League Division 2,5,Victoria,Melbourne
Elwood City,Victorian State League Division 4,7,Victoria,Melbourne
Endeavour Hills Fire,Victorian State League Division 4,7,Victoria,Melbourne
Endeavour United,Victorian State League Division 4,7,Victoria,Melbourne
Epping City,Victorian State League Division 3,6,Victoria,Melbourne
Essendon Royals,Victoria State League Division 2,6,Victoria,Melbourne
Essendon United,Victorian State League Division 2,5,Victoria,Melbourne
