,Name on the Register,Date listed,Location,City or town
1,Bartlett Arboretum,"April 19 , 2010 ( # 10000180 )",Southwest corner of Highway 55 and Line St. 37°23′33″N 97°17′06″W / 37.392386°N 97.285°W / 37.392386 ; -97.285 ( Bartlett Arboretum ),Belle Plaine
2,Buresh Archeological Site,"May 14 , 1971 ( # 71000333 )",Address restricted,Caldwell
3,Caldwell Carnegie Library,"February 24 , 1983 ( # 83000443 )",13 N. Osage St. 37°01′58″N 97°36′34″W / 37.032778°N 97.609444°W / 37.032778 ; -97.609444 ( Caldwell Carnegie Library ),Caldwell
4,Downtown Wellington Historic District,"June 27 , 2007 ( # 07000600 )","Roughly bounded by 10th St. , 4th St. , Jefferson Ave. , and the alley behind the Washington Ave. facing buildings 37°16′00″N 97°23′55″W / 37.266797°N 97.398667°W / 37.266797 ; -97.398667 ( Downtown Wellington Historic District )",Wellington
5,Old Oxford Mill,"April 26 , 1982 ( # 82002677 )",Northeast of Oxford 37°17′40″N 97°09′30″W / 37.294444°N 97.158333°W / 37.294444 ; -97.158333 ( Old Oxford Mill ),Oxford
6,Salter House,"September 3 , 1971 ( # 71000332 )",220 W. Garfield St. 37°15′53″N 97°46′00″W / 37.264722°N 97.766667°W / 37.264722 ; -97.766667 ( Salter House ),Argonia
7,Edwin Smith House,"May 19 , 2004 ( # 04000450 )",114 S. Jefferson 37°15′54″N 97°23′58″W / 37.265°N 97.399444°W / 37.265 ; -97.399444 ( Edwin Smith House ),Wellington
8,H.F. Smith House,"April 18 , 2007 ( # 07000318 )",721 W. Harvey Ave. 37°15′57″N 97°24′23″W / 37.265833°N 97.406389°W / 37.265833 ; -97.406389 ( H.F. Smith House ),Wellington
9,US Post Office-Caldwell,"October 17 , 1989 ( # 89001635 )",14 N. Main St. 37°01′58″N 97°36′31″W / 37.032778°N 97.608611°W / 37.032778 ; -97.608611 ( US Post Office-Caldwell ),Caldwell
10,Wellington Carnegie Library,"June 25 , 1987 ( # 87000973 )",121 W. 7th 37°16′03″N 97°23′56″W / 37.2675°N 97.398889°W / 37.2675 ; -97.398889 ( Wellington Carnegie Library ),Wellington
