Season,Player,School,Position
1997-98,Jumaine Jones,Georgia,Power forward
1997-98,Tony Harris,Tennessee,Point guard
1998-99,Chris Porter,Auburn,Small forward
1999-2000,Joe Johnson,Arkansas,Small forward
2000-01,Justin Reed,Ole Miss,Power forward
2001-02,Jarvis Hayes,Georgia,Power forward
2001-02,Maurice Mo Williams,Alabama,Point guard
2002-03,Anthony Roberson,Florida,Point guard
2003-04,Brandon Bass,LSU,Power forward
2003-04,Lawrence Roberts,Mississippi State,Power forward
2004-05,Glen Davis,LSU,Center
2005-06,Tyrus Thomas,LSU,Power forward
2006-07,Patrick Beverley,Arkansas,Point guard
2007-08,Nick Calathes,Florida,Point guard
2007-08,Patrick Patterson,Kentucky,Power forward
2008-09,Terrico White,Ole Miss,Point guard
2009-10,DeMarcus Cousins,Kentucky,Center
2010-11,Terrence Jones,Kentucky,Power forward
2011-12,Anthony Davis,Kentucky,Center
2012-13,Nerlens Noel,Kentucky,Center
