"Rank ( number of 10,000+ places )","State , federal district or territory","10,000+ places",Densest incorporated place,Density ( people per sq . mile ),Rank ( most dense place )
1,New Jersey,33,Guttenberg,"56,012.0",1
2,California,33,Maywood,"23,887.2",3
3,New York,23,Kaser,"27,788.2",2
4,Pennsylvania,13,Millbourne,"16,557.1",7
5,Florida,7,North Bay Village,"20,267.1",4
6,Massachusetts,7,Somerville,"18,868.1",5
7,Illinois,7,Stone Park,"15,378.2",9
8,Kentucky,1,Poplar Hills,"17,036.0",6
9,Rhode Island,1,Central Falls,"15,652.0",8
10,Maryland,1,Mount Rainier,"13,038.5",10
11,Texas,1,Mobile City,"11,911.3",11
12,District of Columbia,1,Washington,"11,367.0",12
13,Oregon,1,Johnson City,"11,061.5",13
14,Michigan,1,Hamtramck,"10,900.5",14
15,Ohio,1,Lakewood,"10,208.5",15
16,Missouri,0,Velda City,"9,872.8",16
17,Puerto Rico,0,San Juan,"9,084.4",17
18,Idaho,0,Huetter,"9,044.4",18
19,Minnesota,0,Landfall,"8,996.8",19
20,Connecticut,0,Bridgeport,"8,720.9",20
