Club,Winners,Runners-up,Winning Years
Steaua București,26,17,"1951 , 1952 , 1953 , 1956 , 1959-60 , 1960-61 , 1967-68 , 1975-76 , 1977-78 , 1984-85 , 1985-86 , 1986-87 , 1987-88 , 1988-89 , 1992-93 , 1993-94 , 1994-95 , 1995-96 , 1996-97 , 1997-98 , 2000-01 , 2004-05 , 2005-06 , 2012-13 , 2013-14 , 2014-15"
Dinamo București,18,20,"1955 , 1961-62 , 1962-63 , 1963-64 , 1964-65 , 1970-71 , 1972-73 , 1974-75 , 1976-77 , 1981-82 , 1982-83 , 1983-84 , 1989-90 , 1991-92 , 1999-00 , 2001-02 , 2003-04 , 2006-07"
Venus București,8,0,"1919-20 , 1920-21 , 1928-29 , 1931-32 , 1933-34 , 1936-37 , 1938-39 , 1939-40"
UTA Arad,6,1,"1946-47 , 1947-48 , 1950 , 1954 , 1968-69 , 1969-70"
Chinezul Timișoara,6,0,"1921-22 , 1922-23 , 1923-24 , 1924-25 , 1925-26 , 1926-27"
CFR Cluj,5,0,"2007-08 , 2009-10 , 2011-12 , 2017-18 , 2018-19"
Universitatea Craiova,4,5,"1973-74 , 1979-80 , 1980-81 , 1990-91"
Petrolul Ploiești,4,3,"1929-30 , 1957-58 , 1958-59 , 1965-66"
Ripensia Timișoara,4,2,"1932-33 , 1934-35 , 1935-36 , 1937-38"
Rapid București,3,14,"1966-67 , 1998-99 , 2002-03"
Colentina București,2,2,"1912-13 , 1913-14"
Argeș Pitești,2,2,"1971-72 , 1978-79"
Prahova Ploiești,2,1,"1911-12 , 1915-16"
Olympia București,2,1,"1909-10 , 1910-11"
Unirea Tricolor București,1,2,1940-41
Club Atletic Oradea,1,2,1948-49
Colțea Brașov,1,1,1927-28
CSM Reșița,1,1,1930-31
Unirea Urziceni,1,1,2008-09
Astra Giurgiu,1,1,2015-16
