Team,Location,Head Coach,Venue,Capacity,Position in 2009
Avangard,Kursk,Aleksandr Ignatenko,Trudovye Rezervy,"11,329","1st , D2 Centre"
Baltika,Kaliningrad,Leonid Tkachenko,Baltika,"14,664",9th
Dynamo Bryansk,Bryansk,Aleksandr Smirnov,Dynamo,"10,100","2nd , D2 Centre"
Dynamo St. Petersburg,Saint Petersburg,Sergey Frantsev,MSA Petrovsky,"2,835","1st , D2 West"
Irtysh,Omsk,Aleksandr Dorofeyev,Red Star,"8,000","1st , D2 East"
KAMAZ,Naberezhnye Chelny,Robert Yevdokimov,KAMAZ,"9,221",5th
Khimki,Khimki,Yevgeni Bushmanov,Novyye Khimki,"3,066","16th , Premier"
Krasnodar,Krasnodar,Sergei Tashuev,Kuban,"34,640",10th
Kuban,Krasnodar,Dan Petrescu,Kuban,"34,640","15th , Premier"
Luch-Energiya,Vladivostok,Francisco Arcos,Dinamo,"10,185",14th
Mordovia,Saransk,Fyodor Shcherbachenko,Svetotekhnika,"14,000","1st , D2 Ural-Povolzhye"
Nizhny Novgorod,Nizhny Novgorod,Viktor Zaidenberg,Severny,"3,180",13th
Rotor,Volgograd,Vitaliy Shevchenko,Central,"32,126","3rd , D2 South"
Salyut,Belgorod,Yuri Bykov,Salyut,"11,500",7th
Shinnik,Yaroslavl,Aleksandr Pobegalov,Shinnik,"18,481",6th
SKA-Energiya,Khabarovsk,Sergey Feldman,Lenin Stadium,"15,200",15th
Ural,Yekaterinburg,Vladimir Fedotov,Uralmash,"13,000",8th
Volga,Nizhny Novgorod,Omari Tetradze,Lokomotiv,"17,856",4th
Volgar-Gazprom,Astrakhan,Lev Ivanov,Centralny,"20,500",12th
Zhemchuzhina,Sochi,Oleg Vasilenko,Central,"10,280","1st , D2 South"
