Team,City,Stadium,Capacity,Field
Alcides Vigo,Lima,Nacional,"45,750",Grass
Alianza Atlético,Sullana,Campeones del 36,"8,000",Grass
Alianza Lima,Lima,Alejandro Villanueva,"35,000",Grass
Atlético Torino,Talara,Campeonísimo,"8,000",Grass
Cienciano,Cuzco,Garcilaso,"42,056",Grass
Deportivo Municipal,Lima,Nacional,"45,750",Grass
Deportivo Pesquero,Chimbote,Manuel Rivera Sanchez,"25,000",Grass
José Gálvez,Chimbote,Manuel Rivera Sanchez,"25,000",Grass
La Loretana,Pucallpa,Aliardo Soria,"15,000",Grass
Melgar,Arequipa,Mariano Melgar,"20,000",Grass
Sport Boys,Callao,Miguel Grau,"18,000",Grass
Sporting Cristal,Lima,San Martín de Porres,"18,000",Grass
Unión Minas,Cerro de Pasco,Daniel Alcides Carrión,"8,000",Grass
Universitario,Lima,Nacional,"45,750",Grass
