Dance,Best dancer,Best score,Worst dancer,Worst score
Cha Cha Cha,Alexandra Meissnitzer,37,Alfons Haider Mirna Jukić,23
Foxtrot,Astrid Wirtenberger,40,Dieter Chmelar,19
Jive,Astrid Wirtenberger,40,Dieter Chmelar Alexandra Meissnitzer,15
Mambo,Astrid Wirtenberger,36,Mike Galeli Alfons Haider,29
Paso Doble,Alexandra Meissnitzer,34,Alfons Haider,22
Quickstep,Alexandra Meissnitzer,36,Dieter Chmelar Reinhard Nowak,17
Rumba,Alfons Haider Mirna Jukić,33,Markus Wolfahrt,17
Samba,Astrid Wirtenberger,34,Dieter Chmelar,19
Tango,Alexandra Meissnitzer,39,Markus Wolfahrt,19
Viennese Waltz,Alfons Haider,32,Mike Galeli,25
Waltz,Astrid Wirtenberger,33,Dieter Chmelar,17
